cls_epoch,seed,run_path,range_size,cls/eval/test/acc,cls/eval/test/clsloss,cls/eval/test/genloss,cls/eval/uq_clean_accuracy,cls/eval/uq_clean_log_px_mean,cls/eval/uq_adv_acc/0.2,cls/eval/uq_adv_acc/0.4,cls/eval/uq_adv_acc/1.0,cls/eval/uq_detection/1pct/0.2,cls/eval/uq_detection/5pct/0.2,cls/eval/uq_detection/10pct/0.2,cls/eval/uq_detection/20pct/0.2,cls/eval/uq_detection/1pct/0.4,cls/eval/uq_detection/5pct/0.4,cls/eval/uq_detection/10pct/0.4,cls/eval/uq_detection/20pct/0.4,cls/eval/uq_detection/1pct/1.0,cls/eval/uq_detection/5pct/1.0,cls/eval/uq_detection/10pct/1.0,cls/eval/uq_detection/20pct/1.0,cls/eval/uq_purify_acc/0.2/0.2,cls/eval/uq_purify_recovery/0.2/0.2,cls/eval/uq_purify_acc/0.4/0.2,cls/eval/uq_purify_recovery/0.4/0.2,cls/eval/uq_purify_acc/1.0/0.2,cls/eval/uq_purify_recovery/1.0/0.2,cls/eval/test/rob/0.2,cls/eval/test/rob/0.4,cls/eval/test/rob/1.0,gen/eval/test/acc,gen/eval/test/clsloss,gen/eval/test/genloss,gen/eval/uq_clean_accuracy,gen/eval/uq_clean_log_px_mean,gen/eval/uq_adv_acc/0.2,gen/eval/uq_adv_acc/0.4,gen/eval/uq_adv_acc/1.0,gen/eval/uq_detection/1pct/0.2,gen/eval/uq_detection/5pct/0.2,gen/eval/uq_detection/10pct/0.2,gen/eval/uq_detection/20pct/0.2,gen/eval/uq_detection/1pct/0.4,gen/eval/uq_detection/5pct/0.4,gen/eval/uq_detection/10pct/0.4,gen/eval/uq_detection/20pct/0.4,gen/eval/uq_detection/1pct/1.0,gen/eval/uq_detection/5pct/1.0,gen/eval/uq_detection/10pct/1.0,gen/eval/uq_detection/20pct/1.0,gen/eval/uq_purify_acc/0.2/0.2,gen/eval/uq_purify_recovery/0.2/0.2,gen/eval/uq_purify_acc/0.4/0.2,gen/eval/uq_purify_recovery/0.4/0.2,gen/eval/uq_purify_acc/1.0/0.2,gen/eval/uq_purify_recovery/1.0/0.2,gen/eval/test/rob/0.2,gen/eval/test/rob/0.4,gen/eval/test/rob/1.0,eps_unit
5,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/10,2.0,0.973,0.1094628979917615,1.576707560569048,0.973,-1.4607702493667605,0.5195,0.384,0.3485,0.0055,0.033,0.0605,0.1225,0.003,0.0175,0.051,0.112,0.01,0.035,0.064,0.114,0.5445,0.0738813735691987,0.439,0.1193181818181818,0.3975,0.1442824251726784,0.5195,0.384,0.3485,0.963,0.2169156377203762,1.4519162364304066,0.963,-1.2271175384521484,0.57,0.4935,0.4195,0.0295,0.1175,0.1825,0.2955,0.041,0.14,0.244,0.412,0.0245,0.0725,0.1315,0.288,0.7645,0.4651162790697674,0.6625,0.3751233958538993,0.571,0.3100775193798449,0.57,0.4935,0.4195,rel
5,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/11,2.0,0.9705,0.1300828824751079,1.6285694316029549,0.9705,-1.5020992755889893,0.455,0.333,0.278,0.0,0.0415,0.118,0.1815,0.001,0.05,0.1415,0.191,0.0015,0.0335,0.097,0.152,0.5905,0.2807339449541284,0.4785,0.2518740629685157,0.424,0.2409972299168975,0.455,0.333,0.278,0.983,0.175609364407137,1.4928279779851437,0.983,-1.3145241737365725,0.5105,0.406,0.393,0.0245,0.056,0.0995,0.2605,0.0245,0.071,0.1155,0.2415,0.019,0.0475,0.084,0.1825,0.6295,0.2614913176710929,0.576,0.2962962962962963,0.524,0.2850082372322899,0.5105,0.406,0.393,rel
5,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/12,2.0,0.986,0.1031200177967548,1.5483889132738111,0.986,-1.4451539516448977,0.521,0.3245,0.331,0.005,0.0365,0.096,0.144,0.008,0.0455,0.108,0.1565,0.0065,0.022,0.073,0.115,0.541,0.0615866388308977,0.4075,0.1273131014063656,0.3805,0.1173393124065769,0.521,0.3245,0.331,0.9775,0.1839060275815427,1.4346927627921104,0.9775,-1.244822978973389,0.521,0.4365,0.3875,0.043,0.157,0.271,0.373,0.032,0.14,0.2405,0.363,0.0125,0.0455,0.088,0.211,0.764,0.5386221294363257,0.657,0.4392191659272405,0.603,0.4008163265306122,0.521,0.4365,0.3875,rel
5,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/13,2.0,0.992,0.0655092539964243,1.517540905624628,0.992,-1.4521273374557495,0.5345,0.367,0.358,0.003,0.035,0.082,0.1955,0.003,0.0225,0.0885,0.1945,0.005,0.0335,0.098,0.196,0.602,0.1632653061224489,0.4705,0.1729857819905213,0.4435,0.2040498442367601,0.5345,0.367,0.358,0.9925,0.132583787664771,1.3322315104305744,0.9925,-1.188554048538208,0.6605,0.4775,0.4245,0.037,0.119,0.2345,0.3285,0.034,0.143,0.237,0.365,0.039,0.1015,0.1855,0.291,0.782,0.3652430044182621,0.6515,0.3416267942583732,0.5745,0.3006081668114683,0.6605,0.4775,0.4245,rel
5,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/14,2.0,0.981,0.0966977950884029,1.7017318159341812,0.981,-1.6102464199066162,0.4855,0.3075,0.297,0.019,0.0675,0.099,0.192,0.0085,0.062,0.084,0.1835,0.01,0.0335,0.0445,0.0995,0.573,0.2623906705539358,0.467,0.2577617328519855,0.425,0.2403982930298719,0.4855,0.3075,0.297,0.9735,0.1672047337051481,1.543741438537836,0.9735,-1.371909260749817,0.4095,0.376,0.3915,0.0225,0.1855,0.316,0.3875,0.023,0.1385,0.2595,0.356,0.0025,0.0575,0.1235,0.204,0.6685,0.4826418289585097,0.6445,0.4575320512820512,0.558,0.3779786359901397,0.4095,0.376,0.3915,rel
10,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/15,2.0,0.976,0.0890052238246426,1.6042810790240765,0.976,-1.5097429752349854,0.518,0.364,0.364,0.0095,0.0475,0.0815,0.1625,0.017,0.048,0.107,0.184,0.017,0.0495,0.089,0.153,0.5645,0.1151452282157676,0.4385,0.1383647798742138,0.4055,0.1650943396226415,0.518,0.364,0.364,0.9635,0.1524004468228668,1.2775088511407375,0.9635,-1.1186895370483398,0.446,0.304,0.3535,0.0995,0.2485,0.348,0.451,0.095,0.2015,0.3075,0.4185,0.039,0.104,0.1635,0.2705,0.749,0.5667870036101083,0.627,0.4841954022988505,0.4755,0.2977571539056458,0.446,0.304,0.3535,rel
10,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/16,2.0,0.972,0.1092973581980913,1.640777599066496,0.972,-1.5361064672470093,0.4745,0.3675,0.267,0.0,0.039,0.076,0.1615,0.001,0.0395,0.0725,0.182,0.0005,0.029,0.0955,0.1875,0.5615,0.2283539486203615,0.4735,0.2221343873517786,0.3905,0.228512960436562,0.4745,0.3675,0.267,0.9775,0.1473347069695592,1.4639990478754044,0.9775,-1.3142476081848145,0.566,0.4225,0.3855,0.017,0.03,0.08,0.235,0.0215,0.052,0.1015,0.2035,0.0135,0.032,0.0855,0.1925,0.6505,0.2085253456221198,0.5715,0.2683982683982684,0.534,0.2701383238405207,0.566,0.4225,0.3855,rel
10,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/17,2.0,0.989,0.0898961197817698,1.5687836483120918,0.989,-1.4770159721374512,0.524,0.364,0.3045,0.007,0.0425,0.0665,0.1185,0.01,0.042,0.1055,0.1795,0.0075,0.0465,0.08,0.14,0.5405,0.0451680672268907,0.422,0.0935534591194968,0.3545,0.1035226455787203,0.524,0.364,0.3045,0.9875,0.1389176216907799,1.299736861139536,0.9875,-1.15244722366333,0.5605,0.466,0.362,0.04,0.146,0.2575,0.367,0.07,0.171,0.271,0.3735,0.041,0.096,0.1695,0.2495,0.774,0.4914675767918088,0.6705,0.3970037453183521,0.59,0.3730407523510972,0.5605,0.466,0.362,rel
10,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/18,2.0,0.9905,0.0588112326804548,1.5166866891086102,0.9905,-1.4590333700180054,0.503,0.369,0.3415,0.0045,0.054,0.0765,0.1555,0.005,0.0195,0.044,0.1815,0.005,0.029,0.064,0.15,0.609,0.2223340040241448,0.51,0.2353407290015848,0.468,0.2528473804100228,0.503,0.369,0.3415,0.9935,0.0874727019108831,1.2717521134763956,0.9935,-1.1751203536987305,0.5815,0.4035,0.3715,0.094,0.171,0.2375,0.3605,0.1205,0.232,0.273,0.3765,0.0685,0.1515,0.2015,0.299,0.7485,0.4038231780167264,0.6175,0.3612740989103101,0.5095,0.2967382657120127,0.5815,0.4035,0.3715,rel
10,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/19,2.0,0.983,0.0869841738604009,1.664835460484028,0.983,-1.5835644006729126,0.4975,0.354,0.401,0.0245,0.083,0.1595,0.2595,0.0095,0.0885,0.13,0.2245,0.002,0.029,0.072,0.1435,0.5665,0.1751243781094527,0.46,0.1989164086687306,0.4205,0.1602671118530884,0.4975,0.354,0.401,0.9255,0.2276554582640528,1.563201475888491,0.9255,-1.3271384239196775,0.4275,0.3515,0.3185,0.041,0.2,0.3,0.4395,0.0325,0.1515,0.261,0.417,0.007,0.0735,0.1535,0.251,0.72,0.5292576419213973,0.662,0.4965304548959136,0.5335,0.3536316947909024,0.4275,0.3515,0.3185,rel
