alpha,start,run_dir,n_eval,n_gibbs,acc_mean,acc_std,dis_loss_mean,dis_loss_std,gen_loss_mean,gen_loss_std,uq_clean_log_px_mean_mean,uq_clean_log_px_mean_std,uq_clean_purify_acc/0.1_mean,uq_clean_purify_acc/0.1_std,rob/0.05_mean,rob/0.05_std,rob/0.1_mean,rob/0.1_std,rob/0.15_mean,rob/0.15_std,uq_purify_acc/0.05/0.1_mean,uq_purify_acc/0.05/0.1_std,uq_purify_acc/0.1/0.1_mean,uq_purify_acc/0.1/0.1_std,uq_purify_acc/0.15/0.1_mean,uq_purify_acc/0.15/0.1_std,uq_joint_adv_acc/0.05_mean,uq_joint_adv_acc/0.05_std,uq_joint_adv_acc/0.1_mean,uq_joint_adv_acc/0.1_std,uq_joint_adv_acc/0.15_mean,uq_joint_adv_acc/0.15_std,uq_detection/5pct/0.05_mean,uq_detection/5pct/0.05_std,uq_detection/5pct/0.1_mean,uq_detection/5pct/0.1_std,uq_detection/5pct/0.15_mean,uq_detection/5pct/0.15_std,gibbs_clean_acc_mean,gibbs_clean_acc_std,gibbs_clean_purify_acc/6_mean,gibbs_clean_purify_acc/6_std,gibbs_purify_acc/0.05/6_mean,gibbs_purify_acc/0.05/6_std,gibbs_purify_acc/0.1/6_mean,gibbs_purify_acc/0.1/6_std,gibbs_purify_acc/0.15/6_mean,gibbs_purify_acc/0.15/6_std
0.0,base,a0_2406,5,5,0.9792857142857143,0.000952976004580458,0.07309827750718047,0.004189282655378127,53.45980160106312,7.559709887283269,-53.38533248901367,7.5562111500788145,0.9773142857142858,0.002013728393010431,0.485,0.011841211327997073,0.02051428571428568,0.005372454309356408,0.0001428571428571,0.00010101525445519076,0.8571714285714286,0.01532817866625025,0.6501142857142856,0.02588818184391625,0.5209428571428572,0.02360573261402615,0.860685714285714,0.01107737167677002,0.6374285714285715,0.020270114726375087,0.4207142857142857,0.007087643746517675,0.27508571428571427,0.05092126775919941,0.4218571428571428,0.09414632553766981,0.36802857142857137,0.0896926953092432,0.9776000142097473,0.00536657402165058,0.953600001335144,0.009208683023408258,0.8728000044822692,0.009121393133656107,0.7151999950408936,0.0221630277137396,0.5832000017166138,0.021799080790826132
0.001,cold,cold_a0001_3007,3,3,0.974047619047619,0.0007867957924693598,0.0894103925675153,0.0038355131311814156,-88.75545714407257,1.2757600699274512,88.82384745279948,1.2735382792921925,0.9694761904761905,0.0017861904127154434,0.8551428571428571,0.003431546328418372,0.422,0.004591473908568022,0.07352380952380948,0.00351188458428425,0.9155714285714286,0.0014498416521559895,0.7805714285714286,0.01239897954984807,0.5226190476190475,0.017364245068609216,0.9492857142857143,0.002114092655278397,0.9082857142857143,0.002245176235071724,0.846857142857143,0.008343395285970787,0.4685714285714286,0.004635708782739413,0.9599047619047619,0.0031858530826052696,0.9991904761904763,0.00043643578047208203,0.981333335240682,0.006110080792091958,0.9800000190734863,0.0040000081062316895,0.9293333490689596,0.009237588614816498,0.6959999998410543,0.006928182857922948,0.3253333270549774,0.029484456940742615
0.01,cold,cold_a001_3007,3,3,0.9548095238095238,0.001214985792587865,0.15909195237539028,0.0044902562134708475,-113.87267897634796,2.3565426086958783,114.00408935546875,2.3581278909500663,0.9416190476190476,0.0015408275892727088,0.8352380952380952,0.004621010873888785,0.5513333333333333,0.006027713773341713,0.170047619047619,0.0035866342966953376,0.8831904761904762,0.0031178660066420558,0.8027619047619048,0.0037261714589503824,0.6607142857142857,0.012204883599341219,0.9489047619047618,0.0012481278497220778,0.9408095238095239,0.0013502330360721257,0.9265238095238094,0.004408556923717799,0.379,0.002867837128554958,0.8714285714285714,0.007903757824927455,0.9909523809523809,0.0013502330360721689,0.9639999866485596,0.0,0.9546666542689007,0.009237588614816498,0.890666663646698,0.014047538518188176,0.7666666706403097,0.01006646631393005,0.4813333253065745,0.0438786020675097
0.01,warm,a001_2007,5,5,0.9461428571428572,0.00309377254681542,0.18196049885316326,0.010724907238169308,-135.3774958939986,0.9812242870605843,135.51653137207032,0.9843719423952375,0.9364000000000001,0.004728765641242549,0.7112,0.014493348227967962,0.3364857142857143,0.013782049846056393,0.0658571428571428,0.00440083480021408,0.8671428571428571,0.00559427549977179,0.7928000000000001,0.006338737400834246,0.6987714285714286,0.003927402423475163,0.9441428571428572,0.0024969368989926468,0.9416285714285714,0.0033481642853409417,0.937,0.0037701837772561556,0.0993428571428571,0.0018171518418466026,0.2340285714285714,0.007170233252688476,0.39062857142857144,0.012201789765005291,0.9431999802589417,0.016346255890406638,0.9351999878883361,0.005215372493395102,0.8680000066757202,0.014696943907417916,0.7648000001907349,0.015073145948186066,0.6072000026702881,0.017753876566343918
0.1,cold,cold_a01_3007,3,3,0.8153809523809524,0.017849903294389274,0.5896146530454809,0.0539826534133201,-138.9087808782404,0.9199540417237515,139.45329793294272,0.868868798349596,0.7908095238095237,0.018871387116496753,0.5317619047619048,0.01736189431339968,0.31176190476190474,0.02778721381680215,0.1529523809523809,0.015141734010460546,0.6867619047619048,0.016977976931315183,0.608952380952381,0.016947899354108977,0.5293809523809524,0.020923735830114955,0.7859047619047619,0.018523197443676233,0.7610952380952382,0.015542130585259285,0.7381904761904762,0.01134643100708941,0.3940952380952381,0.009152153012373938,0.8150952380952381,0.03369925007744702,0.9593809523809522,0.02649387042445902,0.8026666641235352,0.018903267180068323,0.7826666633288065,0.043143191775085486,0.6866666674613953,0.054454894155977804,0.5693333347638448,0.034947559653149794,0.4933333396911621,0.03801754212370053
0.1,warm,a01_2107,5,5,0.8276857142857142,0.007516240918904875,0.533959324576638,0.01892508600984881,-138.5594549005682,0.2528848710751069,139.04837036132812,0.23515871143122166,0.8028000000000001,0.009601551745336142,0.5458285714285714,0.009894546013654495,0.2897142857142857,0.00682582132308587,0.12657142857142856,0.0026745207466927186,0.7114,0.007011215504970807,0.6394857142857142,0.00876134832601672,0.5696571428571429,0.011210690961610464,0.8248857142857144,0.006354654408625326,0.8180285714285713,0.005381752995643932,0.8085142857142857,0.005383838248472361,0.1053142857142857,0.003662273187237557,0.2420857142857143,0.006559461152582932,0.36762857142857136,0.013242094291481606,0.8047999978065491,0.01775385642269209,0.7984000086784363,0.016395114460581752,0.7023999929428101,0.021835756538208916,0.6184000015258789,0.019514100361417645,0.5216000139713287,0.03093218780070404
0.2,warm,a02_2107,5,5,0.7446857142857143,0.041323684961236326,0.7496120158108799,0.10046815901669987,-138.87104794588956,0.8053723792788909,139.5744201660156,0.7063705688103038,0.7102571428571428,0.04324460565628212,0.4751714285714286,0.011059394381322737,0.2679428571428571,0.030152435851106663,0.12868571428571424,0.021493093337732708,0.6179428571428571,0.0365364788357374,0.5512857142857144,0.03570028296920954,0.49542857142857144,0.04135461378894323,0.7442,0.03916547834353043,0.7357714285714286,0.037517968484229995,0.7248857142857142,0.03739521414320724,0.1065142857142857,0.009912165273448733,0.23888571428571423,0.03009956267903885,0.3600285714285714,0.03344007738493148,0.728000009059906,0.03487118358991883,0.715999984741211,0.028284275883616414,0.6159999966621399,0.0435430786427157,0.5552000045776367,0.047108404205092144,0.4664000034332275,0.06403749909781827
0.5,warm,a05_2107,5,5,0.7187142857142857,0.014338829827302035,0.8335181852904233,0.04233013662625845,-140.22347500887787,0.4892778960244689,141.0108154296875,0.4562595580915331,0.6900857142857142,0.01763362974430347,0.41997142857142855,0.01544192543773252,0.22748571428571424,0.009966576797538075,0.12805714285714279,0.007620193366232602,0.5923428571428572,0.015965715819613358,0.5284571428571428,0.012682705563410474,0.4833142857142857,0.014380897193208526,0.7156285714285715,0.016914732136965874,0.7095999999999999,0.018315099157330726,0.6988285714285715,0.017643695757975437,0.09499999999999995,0.002945075446869766,0.20185714285714287,0.011197211752057217,0.31599999999999995,0.013785159130198591,0.6751999974250793,0.013084327304455964,0.6896000027656555,0.018889159574384938,0.5920000076293945,0.019390718765712977,0.5296000123023987,0.010039914543125588,0.4696000039577483,0.006693283090420881
1.0,cold,cold_a1_3007,3,3,0.7146666666666667,0.024578625745501223,0.8454028588352781,0.05471685562102113,-142.3248091726592,0.6163767939939435,143.12592569986978,0.5630106864296643,0.697047619047619,0.022940176561662955,0.42414285714285715,0.010643576198144796,0.25466666666666665,0.0038712264927052466,0.16304761904761902,0.009303645690225525,0.596952380952381,0.02076414361017441,0.5340000000000001,0.022401257253346542,0.4859523809523809,0.025080008028728517,0.6911428571428572,0.030558408442368436,0.6716190476190477,0.025809479880475703,0.6498571428571428,0.028094955607942212,0.4065714285714286,0.0014846149779162048,0.8504285714285714,0.008518886580500337,0.979904761904762,0.007712080813645002,0.6693333387374878,0.03716627741440555,0.6786666711171468,0.0260256215910845,0.5946666598320007,0.027227425186602563,0.5199999809265137,0.0040000081062316895,0.47466666499773663,0.01616580588549712
1.0,warm,a1_2107,5,5,0.5682571428571429,0.009094402853695586,1.3170551414923233,0.014286342234209888,-138.09472090287642,0.05489883430544066,139.364892578125,0.04346243096140567,0.5401428571428571,0.00799553446797468,0.3680285714285714,0.004898354575877536,0.2469142857142857,0.0012437599348388158,0.16928571428571426,0.006570652128042954,0.4660285714285714,0.008122405394201606,0.4144285714285714,0.008536237282244154,0.38039999999999996,0.0074068363347515416,0.5663714285714285,0.00809484592887627,0.5633714285714285,0.006413156120707777,0.554,0.008280170559221367,0.11562857142857141,0.002324668069349491,0.2540285714285714,0.005924180818252168,0.35760000000000003,0.005810265370313918,0.5672000050544739,0.005932948711186061,0.5776000022888184,0.009208679139805461,0.4912000000476837,0.011798302602724107,0.4224000036716461,0.015126140967598137,0.3727999985218048,0.018417387082897287
