run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.nll.alpha,config/trainer.adversarial.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,gibbs_purify_acc/0.05/1,gibbs_purify_recovery/0.05/1,gibbs_purify_acc/0.05/3,gibbs_purify_recovery/0.05/3,gibbs_purify_acc/0.05/5,gibbs_purify_recovery/0.05/5,gibbs_purify_acc/0.1/1,gibbs_purify_recovery/0.1/1,gibbs_purify_acc/0.1/3,gibbs_purify_recovery/0.1/3,gibbs_purify_acc/0.1/5,gibbs_purify_recovery/0.1/5,gibbs_purify_acc/0.15/1,gibbs_purify_recovery/0.15/1,gibbs_purify_acc/0.15/3,gibbs_purify_recovery/0.15/3,gibbs_purify_acc/0.15/5,gibbs_purify_recovery/0.15/5,uq_clean_purify_acc/0.1,gibbs_clean_purify_acc/1,gibbs_clean_purify_acc/3,gibbs_clean_purify_acc/5,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,gibbs_joint_purify_acc/0.05/1,gibbs_joint_purify_recovery/0.05/1,gibbs_joint_purify_acc/0.05/3,gibbs_joint_purify_recovery/0.05/3,gibbs_joint_purify_acc/0.05/5,gibbs_joint_purify_recovery/0.05/5,gibbs_joint_purify_acc/0.1/1,gibbs_joint_purify_recovery/0.1/1,gibbs_joint_purify_acc/0.1/3,gibbs_joint_purify_recovery/0.1/3,gibbs_joint_purify_acc/0.1/5,gibbs_joint_purify_recovery/0.1/5,gibbs_joint_purify_acc/0.15/1,gibbs_joint_purify_recovery/0.15/1,gibbs_joint_purify_acc/0.15/3,gibbs_joint_purify_recovery/0.15/3,gibbs_joint_purify_acc/0.15/5,gibbs_joint_purify_recovery/0.15/5,range_size,eps_unit
0,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/0,spirals,1,25,0.0,,0.9995,0.0,-1.054401397705078,0.8725,0.6125,0.3885,0.9995,-2.446200132369995,0.8675,0.6035,0.394,0.0195,0.0885,0.1715,0.2665,0.019,0.069,0.155,0.22,0.0045,0.035,0.1115,0.162,0.2564102564102564,0.3107344632768362,0.3265306122448979,0.2908067542213883,0.5789473684210527,0.5942028985507246,0.4548387096774193,0.4272727272727272,0.6666666666666666,0.6,0.5201793721973094,0.4969135802469135,0.1300356960734319,0.1151947339550192,0.092335546167773,0.0749829584185412,0.3929663608562691,0.3818474758324382,0.3857988165680473,0.3878205128205128,0.6057257659467604,0.6062176165803109,0.6167698368036015,0.6270883054892601,0.854,0.1773584905660377,0.631,0.1778058007566204,0.4875,0.1823432343234323,0.8399999737739563,0.490566037735849,0.7710000276565552,0.4754716981132075,0.7425000071525574,0.5283018867924528,0.6875,0.3530895334174023,0.6850000023841858,0.3959646910466582,0.6815000176429749,0.4363177805800756,0.5600000023841858,0.2995049504950495,0.5975000262260437,0.3943894389438944,0.6104999780654907,0.4372937293729373,0.9995,0.9315000176429749,0.8479999899864197,0.8034999966621399,0.8915,0.6335,0.451,0.006,0.055,0.108,0.1975,0.0085,0.0365,0.059,0.115,0.0015,0.0095,0.0505,0.094,0.0833333333333333,0.1727272727272727,0.3009259259259259,0.2759493670886076,0.7647058823529411,0.5205479452054794,0.5423728813559322,0.417391304347826,0.3333333333333333,0.2631578947368421,0.7623762376237624,0.6170212765957447,0.1086519114688128,0.1047619047619047,0.085201793721973,0.0672897196261682,0.3630862329803328,0.3606642449403217,0.3554729011689692,0.3598870056497175,0.5493239859789685,0.5517415446744068,0.5376513954713007,0.5419426048565121,0.857,0.0829493087557603,0.631,0.1323328785811732,0.5075,0.133879781420765,0.8410000205039978,0.391705069124424,0.7910000085830688,0.456221198156682,0.7599999904632568,0.4516129032258064,0.6894999742507935,0.3042291950886767,0.6940000057220459,0.3860845839017735,0.6875,0.4120054570259209,0.5609999895095825,0.2331511839708561,0.6110000014305115,0.3570127504553734,0.6169999837875366,0.4025500910746812,2.0,rel
1,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/1,spirals,2,25,0.0,,0.9995,0.0,-0.7208442687988281,0.847,0.617,0.451,0.9995,-2.378187417984009,0.849,0.6065,0.465,0.051,0.099,0.1525,0.266,0.0515,0.097,0.1345,0.2385,0.037,0.08,0.113,0.182,0.2941176470588235,0.2979797979797979,0.2983606557377049,0.2800751879699248,0.2718446601941747,0.2886597938144329,0.3234200743494423,0.3962264150943396,0.2837837837837837,0.2875,0.3539823008849557,0.4258241758241758,0.143308746048472,0.134850166481687,0.1244837758112094,0.1042234332425068,0.4001054296257248,0.4047619047619047,0.4043905257076834,0.3926460932370322,0.5446521287642783,0.5565217391304348,0.5580608793686584,0.5592909535452323,0.8095,0.2218543046357615,0.6625,0.2134688691232528,0.57,0.2401869158878504,0.8320000171661377,0.4072847682119205,0.7680000066757202,0.3774834437086092,0.7549999952316284,0.4403973509933774,0.7085000276565552,0.3710292249047014,0.6790000200271606,0.3722998729351969,0.6704999804496765,0.4193138500635324,0.6010000109672546,0.3065420560747663,0.6209999918937683,0.3728971962616822,0.6299999952316284,0.4214953271028037,0.9345,0.9135000109672546,0.8314999938011169,0.8100000023841858,0.88,0.6885,0.4995,0.012,0.036,0.0775,0.154,0.007,0.018,0.0405,0.09,0.003,0.0145,0.0285,0.069,0.2916666666666667,0.3333333333333333,0.2580645161290322,0.2532467532467532,0.0714285714285714,0.1388888888888889,0.1234567901234567,0.2,0.3333333333333333,0.1379310344827586,0.2105263157894736,0.2826086956521739,0.117914979757085,0.1120331950207468,0.1084010840108401,0.0957446808510638,0.3131923464249748,0.3146639511201629,0.3194372068785825,0.3225274725274725,0.5010030090270813,0.5058346017250127,0.5090066906845085,0.5166487647690655,0.8195,0.0708333333333333,0.701,0.1219903691813804,0.597,0.2277722277722277,0.8330000042915344,0.2916666666666667,0.7944999933242798,0.3166666666666666,0.7609999775886536,0.3875,0.7200000286102295,0.2600321027287319,0.7024999856948853,0.2776886035313001,0.703499972820282,0.3451043338683788,0.6014999747276306,0.2487512487512487,0.6309999823570251,0.3296703296703296,0.6414999961853027,0.3836163836163836,2.0,rel
10,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/10,spirals,11,25,0.0,,0.9985,0.0,-7.156887054443359,0.986,0.892,0.7655,0.9985,-1.6714504957199097,0.9785,0.891,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0215,0.0215,0.0215,0.0215,0.109,0.109,0.109,0.109,0.236,0.236,0.236,0.236,0.9785,0.0232558139534883,0.8945,0.055045871559633,0.795,0.1461864406779661,0.8970000147819519,0.4418604651162791,0.8234999775886536,0.4883720930232558,0.7925000190734863,0.6511627906976745,0.843999981880188,0.3899082568807339,0.7789999842643738,0.4082568807339449,0.753000020980835,0.4220183486238532,0.7705000042915344,0.375,0.7490000128746033,0.4385593220338983,0.7264999747276306,0.4449152542372881,0.998,0.9304999709129332,0.8525000214576721,0.7954999804496765,0.888,0.681,0.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.112,0.112,0.112,0.112,0.319,0.319,0.319,0.319,0.452,0.452,0.452,0.452,0.885,0.0,0.6705,0.0015673981191222,0.5585,0.0431415929203539,0.8420000076293945,0.3883928571428571,0.7645000219345093,0.3616071428571428,0.7429999709129333,0.3973214285714285,0.7059999704360962,0.2272727272727272,0.6949999928474426,0.2852664576802508,0.6815000176429749,0.3275862068965517,0.5979999899864197,0.1758849557522123,0.6230000257492065,0.2599557522123893,0.6265000104904175,0.3152654867256637,2.0,rel
11,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/11,spirals,12,25,0.0,,1.0,0.0,-0.8711948394775391,0.8685,0.588,0.4105,1.0,-2.175697326660156,0.874,0.5975,0.4335,0.0235,0.0655,0.1335,0.287,0.0145,0.0435,0.1025,0.2225,0.01,0.026,0.069,0.1745,0.1276595744680851,0.2900763358778626,0.3295880149812734,0.3031358885017421,0.3103448275862069,0.4482758620689655,0.4195121951219512,0.451685393258427,0.45,0.4807692307692308,0.3478260869565217,0.5071633237822349,0.1259600614439324,0.1144997324772605,0.0946335833814195,0.0546984572230014,0.4038559107052257,0.40041819132253,0.4005571030640668,0.3884244372990353,0.5676767676767677,0.5687885010266941,0.5827067669172933,0.5790430042398547,0.857,0.2857142857142857,0.659,0.2335403726708074,0.55,0.2321270962047661,0.8550000190734863,0.503968253968254,0.7919999957084656,0.4880952380952381,0.7670000195503235,0.5436507936507936,0.6934999823570251,0.3440993788819876,0.6704999804496765,0.3701863354037267,0.6694999933242798,0.431055900621118,0.5720000267028809,0.2956751985878199,0.6065000295639038,0.3742277140335392,0.6069999933242798,0.4183583406884378,0.993,0.934499979019165,0.8429999947547913,0.8004999756813049,0.89,0.664,0.4675,0.0125,0.046,0.089,0.2045,0.0055,0.0205,0.037,0.103,0.0015,0.0095,0.0155,0.0835,0.24,0.391304347826087,0.3876404494382022,0.334963325183374,0.3636363636363636,0.2682926829268293,0.3513513513513513,0.3689320388349514,0.3333333333333333,0.0526315789473684,0.1935483870967742,0.5329341317365269,0.1083544303797468,0.0964360587002096,0.0828759604829857,0.0521684475172847,0.3358471593765711,0.3374170495150587,0.3354101765316719,0.3322185061315496,0.5327991987981973,0.5371024734982333,0.5378364652107669,0.5324604473540644,0.856,0.1545454545454545,0.6675,0.1666666666666666,0.5815,0.2535211267605634,0.8475000262260437,0.3772727272727272,0.7929999828338623,0.4227272727272727,0.7630000114440918,0.45,0.7009999752044678,0.2931547619047619,0.7074999809265137,0.3616071428571428,0.6970000267028809,0.4017857142857143,0.5799999833106995,0.2563380281690141,0.6209999918937683,0.3539906103286385,0.6265000104904175,0.3971830985915493,2.0,rel
12,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/12,spirals,13,25,0.0,,1.0,0.0,-0.7677001953125,0.8785,0.6425,0.467,1.0,-2.251720428466797,0.8785,0.6385,0.4525,0.036,0.0635,0.139,0.284,0.043,0.0605,0.113,0.205,0.03,0.0465,0.075,0.144,0.0555555555555555,0.1338582677165354,0.1906474820143885,0.227112676056338,0.0930232558139534,0.1487603305785124,0.1858407079646017,0.2585365853658536,0.0333333333333333,0.1075268817204301,0.1333333333333333,0.2430555555555555,0.1239626556016597,0.1206620395088094,0.1103368176538908,0.079608938547486,0.3735632183908046,0.3751995742416179,0.3838782412626832,0.3880503144654088,0.5634020618556701,0.5689564761405349,0.581081081081081,0.5987149532710281,0.8465,0.0576131687242798,0.675,0.1438450899031811,0.5465,0.2009132420091324,0.8259999752044678,0.3045267489711934,0.7799999713897705,0.3580246913580246,0.7480000257492065,0.3662551440329218,0.6980000138282776,0.2738589211618257,0.6825000047683716,0.3278008298755187,0.6965000033378601,0.3858921161825726,0.5665000081062317,0.2584474885844748,0.597000002861023,0.3360730593607306,0.6194999814033508,0.3945205479452054,0.995,0.934499979019165,0.8510000109672546,0.8190000057220459,0.8825,0.677,0.4845,0.01,0.0425,0.0775,0.2135,0.0035,0.029,0.0405,0.112,0.0015,0.015,0.022,0.0755,0.2,0.2588235294117647,0.3032258064516129,0.2646370023419204,0.1428571428571428,0.0862068965517241,0.2469135802469135,0.28125,0.0,0.0333333333333333,0.2045454545454545,0.2582781456953642,0.1166666666666666,0.1112271540469973,0.1018970189701897,0.0775588048315321,0.3236327145007526,0.3300720906282183,0.3262115685252735,0.3282657657657657,0.5162744116174262,0.5228426395939086,0.5224948875255624,0.5365062195781504,0.8515,0.025531914893617,0.703,0.1424148606811145,0.589,0.2259941804073715,0.8370000123977661,0.3319148936170212,0.796999990940094,0.3319148936170212,0.7699999809265137,0.3531914893617021,0.7229999899864197,0.2770897832817337,0.7080000042915344,0.3235294117647059,0.6995000243186951,0.3452012383900928,0.5960000157356262,0.2647914645974781,0.6184999942779541,0.3355965082444229,0.6205000281333923,0.3656644034917555,2.0,rel
13,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/13,spirals,14,25,0.0,,0.999,0.0,-4.8191680908203125,0.9205,0.7305,0.5715,0.999,-2.438595771789551,0.9175,0.736,0.578,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.2455,0.0,0.0,0.0,0.226,,,,0.0425925925925925,,,,0.1344195519348268,,,,0.2079646017699115,0.0825,0.0825,0.0825,0.0972602739726027,0.264,0.264,0.264,0.3061630218687873,0.422,0.422,0.422,0.4844961240310077,0.849,0.1393939393939394,0.744,0.1590909090909091,0.671,0.2689573459715639,0.8374999761581421,0.3515151515151515,0.7829999923706055,0.3393939393939394,0.7565000057220459,0.3151515151515151,0.753000020980835,0.3181818181818182,0.7245000004768372,0.3428030303030303,0.7139999866485596,0.3560606060606061,0.6589999794960022,0.3021327014218009,0.6464999914169312,0.3518957345971564,0.6635000109672546,0.3969194312796208,0.9295,0.921999990940094,0.8289999961853027,0.8019999861717224,0.887,0.67,0.529,0.0,0.0,0.0,0.1295,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.046,,,,0.3629343629343629,,,,0.3636363636363636,,,,0.4565217391304347,0.113,0.113,0.113,0.0758184951177484,0.33,0.33,0.33,0.328042328042328,0.471,0.471,0.471,0.4716981132075472,0.8065,0.0442477876106194,0.68,0.1393939393939394,0.6335,0.2707006369426751,0.8395000100135803,0.2876106194690265,0.7820000052452087,0.2787610619469026,0.7509999871253967,0.3008849557522124,0.7064999938011169,0.2227272727272727,0.7014999985694885,0.2924242424242424,0.6875,0.3272727272727272,0.6200000047683716,0.2473460721868365,0.6399999856948853,0.3152866242038216,0.6485000252723694,0.3630573248407643,2.0,rel
14,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/14,spirals,15,25,0.0,,0.9995,0.0,-0.8865127563476562,0.85,0.4905,0.3505,0.9995,-2.560790061950684,0.854,0.502,0.337,0.0155,0.067,0.108,0.18,0.0045,0.048,0.074,0.146,0.0035,0.031,0.052,0.135,0.3548387096774194,0.1940298507462686,0.2314814814814814,0.2972222222222222,0.6666666666666666,0.375,0.4054054054054054,0.5273972602739726,0.1428571428571428,0.4516129032258064,0.4615384615384615,0.6370370370370371,0.1427120365667851,0.142550911039657,0.1356502242152466,0.1128048780487804,0.4972375690607735,0.5042016806722689,0.5053995680345572,0.4929742388758782,0.6648268941294531,0.6697626418988648,0.6740506329113924,0.6670520231213873,0.85,0.3150684931506849,0.6185,0.2690763052208835,0.4815,0.2209653092006033,0.809499979019165,0.5,0.7524999976158142,0.4828767123287671,0.7404999732971191,0.5513698630136986,0.671999990940094,0.4196787148594377,0.6700000166893005,0.4829317269076305,0.6884999871253967,0.5341365461847389,0.5565000176429749,0.3506787330316742,0.6035000085830688,0.4487179487179487,0.640500009059906,0.5120663650075414,0.991,0.9104999899864196,0.8134999871253967,0.7705000042915344,0.9065,0.5805,0.396,0.0035,0.0355,0.0915,0.1445,0.003,0.0145,0.046,0.0835,0.001,0.0125,0.0355,0.092,0.2857142857142857,0.2112676056338028,0.1693989071038251,0.2698961937716263,0.6666666666666666,0.3793103448275862,0.4239130434782608,0.467065868263473,0.0,0.12,0.4225352112676056,0.5489130434782609,0.092824887104867,0.0891653706583722,0.0858558062740781,0.0637054354178842,0.4187562688064192,0.4200913242009132,0.4192872117400419,0.4151663938897981,0.6046046046046046,0.610126582278481,0.6106791083462935,0.6095814977973568,0.875,0.213903743315508,0.6255,0.1764004767580453,0.4845,0.1564569536423841,0.8245000243186951,0.4064171122994652,0.7720000147819519,0.4491978609625668,0.7509999871253967,0.4866310160427807,0.6924999952316284,0.368295589988081,0.684499979019165,0.4147794994040524,0.6899999976158142,0.4636471990464839,0.5375000238418579,0.2665562913907284,0.6150000095367432,0.4205298013245033,0.640500009059906,0.466887417218543,2.0,rel
15,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/15,spirals,16,25,0.0,,0.998,0.0,-5.799434661865234,0.949,0.782,0.6045,0.998,-2.3005640506744385,0.9535,0.792,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0465,0.0465,0.0465,0.0465,0.208,0.208,0.208,0.208,0.375,0.375,0.375,0.375,0.949,0.1935483870967742,0.8055,0.2139423076923076,0.7225,0.2666666666666666,0.8529999852180481,0.4193548387096774,0.7904999852180481,0.4408602150537634,0.7540000081062317,0.3978494623655914,0.7829999923706055,0.4254807692307692,0.7429999709129333,0.46875,0.7459999918937683,0.4951923076923077,0.7070000171661377,0.3973333333333333,0.7235000133514404,0.4986666666666666,0.7020000219345093,0.4786666666666667,0.9965,0.8964999914169312,0.8309999704360962,0.7950000166893005,0.8605,0.6515,0.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.1395,0.1395,0.1395,0.1395,0.3485,0.3485,0.3485,0.3485,0.5315,0.5315,0.5315,0.5315,0.841,0.039426523297491,0.6665,0.152080344332855,0.578,0.2220131702728127,0.8144999742507935,0.3584229390681003,0.7565000057220459,0.3906810035842294,0.7574999928474426,0.4301075268817204,0.7070000171661377,0.3242467718794835,0.7160000205039978,0.4031563845050215,0.722000002861023,0.4677187948350071,0.6269999742507935,0.3245531514581373,0.6579999923706055,0.4242709313264346,0.6830000281333923,0.4825964252116651,2.0,rel
16,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/16,spirals,17,25,0.0,,1.0,0.0,-0.9583473205566406,0.884,0.5845,0.406,1.0,-2.1315689086914062,0.8825,0.573,0.38,0.033,0.074,0.147,0.2835,0.0285,0.052,0.1045,0.25,0.0075,0.0195,0.0565,0.1925,0.5909090909090909,0.4459459459459459,0.2959183673469387,0.27336860670194,0.8070175438596491,0.7115384615384616,0.5215311004784688,0.53,0.8666666666666667,0.6923076923076923,0.4513274336283185,0.5246753246753246,0.1013443640124095,0.0912526997840172,0.0867526377491207,0.0558269364968597,0.4158517756047349,0.4113924050632911,0.4159687325516471,0.3926666666666666,0.6181360201511334,0.6185619581845997,0.6301006889242183,0.6427244582043343,0.8735,0.2595744680851063,0.645,0.2447306791569086,0.507,0.2298387096774193,0.8385000228881836,0.4340425531914894,0.781000018119812,0.4978723404255319,0.7404999732971191,0.5276595744680851,0.6924999952316284,0.3875878220140515,0.6794999837875366,0.4192037470725995,0.6784999966621399,0.4601873536299766,0.5425000190734863,0.289516129032258,0.5830000042915344,0.382258064516129,0.6010000109672546,0.4306451612903226,0.9975,0.9394999742507936,0.8389999866485596,0.7960000038146973,0.9035,0.6615,0.4445,0.0355,0.056,0.11,0.2245,0.0075,0.0205,0.057,0.14,0.002,0.007,0.0245,0.126,0.5633802816901409,0.5,0.3227272727272727,0.2472160356347438,0.6666666666666666,0.7560975609756098,0.3508771929824561,0.3785714285714285,0.75,0.5,0.2448979591836734,0.5277777777777778,0.0793157076205287,0.0725635593220339,0.0685393258426966,0.0528691166989039,0.3360201511335012,0.3297600816743236,0.3377518557794273,0.3319767441860465,0.5551102204408818,0.5558912386706949,0.5633008713480266,0.5594965675057209,0.876,0.1658031088082901,0.665,0.1521418020679468,0.547,0.2133213321332133,0.8560000061988831,0.4559585492227979,0.8040000200271606,0.4611398963730569,0.7509999871253967,0.4248704663212435,0.7124999761581421,0.3028064992614475,0.6980000138282776,0.3677991137370753,0.6765000224113464,0.3810930576070901,0.5534999966621399,0.2412241224122412,0.5945000052452087,0.3483348334833483,0.6110000014305115,0.4059405940594059,2.0,rel
17,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a0_3005/17,spirals,18,25,0.0,,0.999,0.0,-1.089252471923828,0.846,0.5655,0.386,0.999,-2.569653987884521,0.834,0.5665,0.381,0.011,0.0635,0.096,0.2145,0.009,0.049,0.0705,0.183,0.0105,0.053,0.072,0.189,0.3636363636363636,0.3070866141732283,0.296875,0.3799533799533799,0.6666666666666666,0.5,0.5390070921985816,0.5355191256830601,0.7619047619047619,0.5943396226415094,0.6180555555555556,0.6243386243386243,0.1638018200202224,0.1564335290977042,0.1521017699115044,0.1075747931253978,0.4313824419778002,0.4300736067297581,0.4254975793437331,0.4106487148102815,0.6174835775644265,0.6203801478352693,0.619073275862069,0.6177558569667078,0.801,0.253012048192771,0.626,0.2329873125720876,0.505,0.2277867528271405,0.8034999966621399,0.4337349397590361,0.7634999752044678,0.4759036144578313,0.7319999933242798,0.5120481927710844,0.6775000095367432,0.3621683967704729,0.6825000047683716,0.4394463667820069,0.6744999885559082,0.4532871972318339,0.5659999847412109,0.3352180936995153,0.6025000214576721,0.4143780290791599,0.6349999904632568,0.4822294022617124,0.9495,0.906499981880188,0.8230000138282776,0.7864999771118164,0.8615,0.622,0.4095,0.004,0.035,0.0575,0.1365,0.0025,0.0165,0.028,0.067,0.0015,0.0115,0.0215,0.0815,0.0,0.3285714285714285,0.3478260869565217,0.3846153846153846,0.6,0.3333333333333333,0.4107142857142857,0.5,0.3333333333333333,0.2608695652173913,0.3720930232558139,0.6319018404907976,0.1390562248995984,0.1316062176165803,0.1257294429708222,0.0995946728430804,0.3774436090225564,0.3787493645144891,0.3770576131687242,0.3692390139335477,0.5908863294942414,0.5943348507840162,0.5952989269289729,0.5868263473053892,0.81,0.1805054151624548,0.6475,0.201058201058201,0.5325,0.2286198137171888,0.8174999952316284,0.3754512635379061,0.7509999871253967,0.3862815884476534,0.7505000233650208,0.4801444043321299,0.6815000176429749,0.3068783068783068,0.7014999985694885,0.41005291005291,0.6794999837875366,0.4126984126984127,0.5684999823570251,0.2912785774767146,0.6039999723434448,0.3801862828111769,0.6395000219345093,0.4648602878916172,2.0,rel
