d3r10c64 — defenses at eps=0.2, q=10% (mean±std over seeds); * = best per column
Gibbs column: n_eval=250 subsample; all others: full test split
Model         Clean            Rob.             Purif lk r0.2    Purif Gk6        Det rate         Acc passed       
--------------------------------------------------------------------------------------------------------------------
a=0           0.973±0.001*     0.009±0.005      0.449±0.020      0.548±0.025      0.347±0.043*     0.011±0.005      
a=0.01        0.948±0.003      0.401±0.013      0.801±0.005      0.762±0.014      0.323±0.005      0.420±0.009      
a=0.1         0.783±0.005      0.320±0.004      0.602±0.002      0.578±0.014      0.334±0.005      0.340±0.002      
a=0.2         0.663±0.003      0.326±0.002      0.487±0.001      0.443±0.022      0.346±0.005      0.353±0.004      
a=0.5         0.555±0.028      0.262±0.015      0.414±0.020      0.406±0.013      0.338±0.007      0.301±0.014      
a=1           0.451±0.004      0.217±0.004      0.340±0.005      0.374±0.004      0.323±0.008      0.257±0.003      
AT a=0        0.913±0.001      0.846±0.001      0.838±0.003*     0.799±0.007      0.168±0.020      0.842±0.003      
AT a=0.01     0.920±0.001      0.847±0.001*     0.832±0.003      0.807±0.006*     0.234±0.008      0.843±0.004*     
