max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
8,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/16,2.0,0.9995,0.0064878663179115,0.9995,0.967,0.76,0.5405,0.3055,0.4405,0.473,0.584,0.4325,0.5635,0.6045,0.6595,0.238,0.3475,0.3835,0.4295,0.992,0.7727272727272727,0.8265,0.30625,0.648,0.2459194776931447,0.967,0.76,0.5405,16.0,0.5481372615322471,-0.5413360595703125,rel
8,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/17,2.0,0.9995,0.0063920001266524,0.9995,0.974,0.7575,0.5345,0.288,0.4365,0.472,0.573,0.4135,0.55,0.594,0.645,0.2445,0.3685,0.4055,0.4475,0.993,0.75,0.8155,0.2597938144329897,0.6405,0.2395273899033297,0.974,0.7575,0.5345,17.0,0.5464584501460195,-0.5397484302520752,rel
8,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/18,2.0,0.9995,0.0064561754843452,0.9995,0.9675,0.762,0.553,0.297,0.4415,0.4785,0.578,0.4275,0.56,0.596,0.6505,0.2335,0.3465,0.3885,0.422,0.989,0.6923076923076923,0.8215,0.2773109243697479,0.646,0.2147651006711409,0.9675,0.762,0.553,18.0,0.5470832912251353,-0.5402985215187073,rel
8,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/19,2.0,0.9995,0.0064571048860671,0.9995,0.9695,0.754,0.549,0.301,0.4395,0.4735,0.5765,0.4275,0.5485,0.5935,0.639,0.2375,0.3705,0.4085,0.446,0.9915,0.7377049180327869,0.8145,0.266260162601626,0.644,0.2195121951219512,0.9695,0.754,0.549,19.0,0.5466411206871271,-0.5398139357566833,rel
1,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/2,2.0,1.0,0.0005709458555429,1.0,0.941,0.6435,0.365,0.2945,0.3435,0.3875,0.508,0.3695,0.4705,0.5315,0.6225,0.189,0.243,0.3195,0.4585,0.963,0.3813559322033898,0.696,0.1500701262272089,0.499,0.2464566929133858,0.941,0.6435,0.365,2.0,0.919636370614171,-0.9198502898216248,rel
16,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/20,2.0,0.9995,0.0125879648257978,0.9995,0.904,0.6365,0.444,0.391,0.5825,0.644,0.6885,0.476,0.5865,0.6335,0.6575,0.3125,0.3985,0.458,0.515,0.978,0.7864583333333334,0.776,0.4016506189821183,0.6085,0.3273381294964029,0.904,0.6365,0.444,20.0,0.4210803471505642,-0.4078352749347687,rel
16,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/21,2.0,0.9995,0.0112568148615537,0.9995,0.9215,0.6335,0.43,0.4025,0.5735,0.669,0.6995,0.48,0.585,0.6695,0.686,0.265,0.369,0.445,0.5045,0.984,0.8089171974522293,0.774,0.4024556616643929,0.615,0.3456140350877193,0.9215,0.6335,0.43,21.0,0.432605410926044,-0.4207984507083893,rel
16,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/22,2.0,0.9995,0.0119515790865989,0.9995,0.909,0.6225,0.442,0.376,0.5535,0.6215,0.6715,0.4675,0.586,0.648,0.6825,0.265,0.3845,0.4445,0.5035,0.9815,0.8131868131868132,0.7665,0.3960264900662251,0.641,0.3691756272401433,0.909,0.6225,0.442,22.0,0.4332553436979651,-0.4208386838436126,rel
16,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/23,2.0,0.9995,0.0105103760870406,0.9995,0.92,0.626,0.462,0.391,0.552,0.6465,0.677,0.4835,0.575,0.66,0.67,0.264,0.3635,0.4345,0.493,0.9835,0.8,0.771,0.4010695187165775,0.6455,0.362453531598513,0.92,0.626,0.462,23.0,0.4346166327595711,-0.4234993755817413,rel
16,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/24,2.0,0.9995,0.012433918469469,0.9995,0.9025,0.631,0.441,0.3965,0.5915,0.6725,0.6975,0.486,0.585,0.6465,0.659,0.281,0.3715,0.4365,0.4995,0.9775,0.7897435897435897,0.777,0.4173441734417344,0.6125,0.349731663685152,0.9025,0.631,0.441,24.0,0.4236700190231204,-0.4106118083000183,rel
