max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
8,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/15,,0.9995,0.019415307673625648,0.9995,0.8095,0.54,0.3315,0.4,0.5935,0.6745,0.755,0.439,0.5885,0.6375,0.7175,0.2015,0.281,0.3375,0.427,0.906,0.5091863517060368,0.6945,0.34456521739130436,0.5105,0.3059087509349289,0.8095,0.54,0.3315,15,0.8596609253436327,-0.8414670825004578
8,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/16,,0.9995,0.019235292478697374,0.9995,0.826,0.551,0.352,0.4185,0.6045,0.6635,0.7605,0.458,0.584,0.624,0.72,0.199,0.283,0.344,0.4365,0.908,0.4827586206896552,0.7,0.3418708240534521,0.52,0.3125,0.826,0.551,0.352,16,0.8612139821052551,-0.8433256149291992
8,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/17,,0.9995,0.019274306192528456,0.9995,0.829,0.5275,0.359,0.393,0.585,0.656,0.746,0.448,0.584,0.627,0.7305,0.2005,0.284,0.331,0.441,0.9115,0.49122807017543857,0.6995,0.37566137566137564,0.5405,0.32605304212168484,0.829,0.5275,0.359,17,0.8607692066580057,-0.8427701592445374
8,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/18,,0.9995,0.019194406952010468,0.9995,0.8305,0.5445,0.334,0.414,0.596,0.6705,0.763,0.4525,0.5795,0.634,0.725,0.2195,0.3055,0.3475,0.4355,0.912,0.4837758112094395,0.7035,0.3611416026344676,0.5355,0.3340840840840841,0.8305,0.5445,0.334,18,0.8617553524672985,-0.8438597321510315
8,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/19,,0.9995,0.019466871774056926,0.9995,0.8185,0.541,0.3405,0.4135,0.6055,0.678,0.7565,0.4645,0.5905,0.644,0.7295,0.219,0.2985,0.3575,0.444,0.903,0.4738292011019284,0.7075,0.3747276688453159,0.528,0.3237300985595148,0.8185,0.541,0.3405,19,0.8601794019341469,-0.842025876045227
1,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/2,,1.0,0.0020482548488871544,1.0,0.7805,0.4325,0.2595,0.375,0.43,0.46,0.5105,0.2025,0.2605,0.313,0.4365,0.1505,0.176,0.213,0.286,0.829,0.255125284738041,0.544,0.21233480176211453,0.4285,0.24645509790681971,0.7805,0.4325,0.2595,2,1.3448894694447517,-1.3439905643463135
16,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/20,,0.998,0.036200929956976324,0.998,0.808,0.473,0.315,0.4185,0.7135,0.779,0.834,0.4855,0.6835,0.735,0.7735,0.274,0.379,0.419,0.468,0.9155,0.6979166666666666,0.6775,0.43263757115749524,0.4605,0.3029197080291971,0.808,0.473,0.315,20,0.7458735033869743,-0.7100651264190674
16,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/21,,0.998,0.036009821167681366,0.998,0.7985,0.471,0.3125,0.4285,0.727,0.792,0.8405,0.5115,0.675,0.726,0.78,0.304,0.398,0.4445,0.5045,0.9085,0.6600496277915633,0.627,0.3553875236294896,0.4355,0.2530909090909091,0.7985,0.471,0.3125,21,0.7460098247975111,-0.7105183601379395
16,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/22,,0.998,0.03573468356626108,0.998,0.789,0.493,0.31,0.439,0.738,0.787,0.842,0.468,0.679,0.7265,0.772,0.2645,0.3845,0.423,0.4845,0.911,0.6824644549763034,0.689,0.4240631163708087,0.4675,0.2818840579710145,0.789,0.493,0.31,22,0.7450744155794382,-0.7096531391143799
16,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/23,,0.998,0.03591406490886584,0.998,0.801,0.4835,0.3195,0.4465,0.741,0.8,0.8505,0.4785,0.6775,0.7275,0.781,0.281,0.3895,0.4265,0.488,0.905,0.6381909547738693,0.6585,0.39012584704743464,0.4345,0.23806024981631155,0.801,0.4835,0.3195,23,0.7457199767231941,-0.7102885842323303
