cls_epoch,seed,run_path,range_size,cls/eval/test/acc,cls/eval/test/clsloss,cls/eval/test/genloss,cls/eval/uq_clean_accuracy,cls/eval/uq_clean_log_px_mean,cls/eval/uq_adv_acc/0.2,cls/eval/uq_adv_acc/0.4,cls/eval/uq_adv_acc/1.0,cls/eval/uq_detection/1pct/0.2,cls/eval/uq_detection/5pct/0.2,cls/eval/uq_detection/10pct/0.2,cls/eval/uq_detection/20pct/0.2,cls/eval/uq_detection/1pct/0.4,cls/eval/uq_detection/5pct/0.4,cls/eval/uq_detection/10pct/0.4,cls/eval/uq_detection/20pct/0.4,cls/eval/uq_detection/1pct/1.0,cls/eval/uq_detection/5pct/1.0,cls/eval/uq_detection/10pct/1.0,cls/eval/uq_detection/20pct/1.0,cls/eval/uq_purify_acc/0.2/0.2,cls/eval/uq_purify_recovery/0.2/0.2,cls/eval/uq_purify_acc/0.4/0.2,cls/eval/uq_purify_recovery/0.4/0.2,cls/eval/uq_purify_acc/1.0/0.2,cls/eval/uq_purify_recovery/1.0/0.2,cls/eval/test/rob/0.2,cls/eval/test/rob/0.4,cls/eval/test/rob/1.0,gen/eval/test/acc,gen/eval/test/clsloss,gen/eval/test/genloss,gen/eval/uq_clean_accuracy,gen/eval/uq_clean_log_px_mean,gen/eval/uq_adv_acc/0.2,gen/eval/uq_adv_acc/0.4,gen/eval/uq_adv_acc/1.0,gen/eval/uq_detection/1pct/0.2,gen/eval/uq_detection/5pct/0.2,gen/eval/uq_detection/10pct/0.2,gen/eval/uq_detection/20pct/0.2,gen/eval/uq_detection/1pct/0.4,gen/eval/uq_detection/5pct/0.4,gen/eval/uq_detection/10pct/0.4,gen/eval/uq_detection/20pct/0.4,gen/eval/uq_detection/1pct/1.0,gen/eval/uq_detection/5pct/1.0,gen/eval/uq_detection/10pct/1.0,gen/eval/uq_detection/20pct/1.0,gen/eval/uq_purify_acc/0.2/0.2,gen/eval/uq_purify_recovery/0.2/0.2,gen/eval/uq_purify_acc/0.4/0.2,gen/eval/uq_purify_recovery/0.4/0.2,gen/eval/uq_purify_acc/1.0/0.2,gen/eval/uq_purify_recovery/1.0/0.2,gen/eval/test/rob/0.2,gen/eval/test/rob/0.4,gen/eval/test/rob/1.0
5,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/10,2.0,0.964,0.15748858056031168,1.8718931525945663,0.964,-1.7099066972732544,0.4755,0.382,0.226,0.006,0.036,0.0695,0.1245,0.0015,0.008,0.016,0.036,0.0005,0.0085,0.014,0.038,0.5445,0.18207816968541468,0.4075,0.063915857605178,0.311,0.11627906976744186,0.4755,0.382,0.226,0.865,0.27881577610969543,1.3121137917041779,0.865,-1.0323134660720825,0.643,0.5965,0.5585,0.08,0.1005,0.18,0.2565,0.091,0.1145,0.217,0.299,0.054,0.09,0.208,0.293,0.7165,0.23529411764705882,0.7615,0.42379182156133827,0.6485,0.35900339750849375,0.643,0.5965,0.5585
5,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/11,2.0,0.873,0.31678697001188993,1.7332773581147194,0.873,-1.4182226657867432,0.2325,0.1365,0.066,0.0075,0.0555,0.1205,0.2145,0.0065,0.0375,0.085,0.1465,0.0075,0.031,0.0595,0.1035,0.389,0.2664495114006515,0.1945,0.08627678054429647,0.083,0.04068522483940043,0.2325,0.1365,0.066,0.6745,0.7141438201069832,2.165322832763195,0.6745,-1.457309603691101,0.547,0.425,0.4735,0.0395,0.0525,0.071,0.2305,0.1325,0.1725,0.206,0.368,0.05,0.0945,0.134,0.2485,0.556,0.03421633554083885,0.5295,0.2008695652173913,0.499,0.08547008547008547,0.547,0.425,0.4735
5,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/12,2.0,0.9775,0.110734285088256,1.5824369564652443,0.9775,-1.4706982374191284,0.547,0.406,0.2375,0.084,0.127,0.165,0.276,0.1245,0.1615,0.202,0.278,0.099,0.118,0.1555,0.191,0.6035,0.15673289183222958,0.5645,0.2836700336700337,0.399,0.2360655737704918,0.547,0.406,0.2375,0.9895,0.07215702917892486,1.144220357760787,0.9895,-1.0719242095947266,0.6625,0.5025,0.4505,0.1605,0.2,0.2595,0.2945,0.1125,0.1555,0.2195,0.2895,0.0275,0.0665,0.146,0.2425,0.899,0.7007407407407408,0.721,0.45125628140703516,0.5445,0.2010919017288444,0.6625,0.5025,0.4505
5,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/13,2.0,0.9875,0.0691143861040473,1.6794080846011639,0.9875,-1.612649917602539,0.6465,0.4535,0.272,0.0145,0.046,0.1,0.1755,0.0115,0.04,0.0905,0.146,0.006,0.022,0.063,0.09,0.659,0.10891089108910891,0.563,0.2131747483989021,0.399,0.19024725274725274,0.6465,0.4535,0.272,0.9885,0.1025040193926543,1.2029227055609226,0.9885,-1.108850359916687,0.804,0.729,0.594,0.0445,0.0525,0.1125,0.229,0.0625,0.076,0.1455,0.261,0.0515,0.1145,0.196,0.2885,0.8525,0.25255102040816324,0.778,0.2177121771217712,0.629,0.20073891625615764,0.804,0.729,0.594
5,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/14,2.0,0.993,0.09176533040590584,1.5385230332612991,0.993,-1.4490444660186768,0.545,0.381,0.23,0.032,0.0585,0.1325,0.244,0.0395,0.0725,0.136,0.21,0.0385,0.0475,0.0645,0.1095,0.5885,0.16483516483516483,0.5215,0.23909531502423265,0.3485,0.17272727272727273,0.545,0.381,0.23,0.991,0.2699757479131222,1.3737580180168152,0.991,-1.1046055555343628,0.772,0.7535,0.696,0.121,0.1605,0.215,0.2975,0.115,0.1415,0.1855,0.308,0.0735,0.1145,0.188,0.289,0.865,0.45394736842105265,0.804,0.281947261663286,0.69,0.11348684210526316,0.772,0.7535,0.696
10,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/15,2.0,0.9745,0.10061450290959328,1.7591178268194199,0.9745,-1.6577463150024414,0.593,0.4815,0.314,0.0185,0.047,0.085,0.1395,0.008,0.019,0.046,0.074,0.0015,0.01,0.036,0.0735,0.636,0.1339066339066339,0.58,0.19961427193828352,0.4415,0.1967930029154519,0.593,0.4815,0.314,0.9945,0.12233393336646259,1.1576582379639149,0.9945,-1.0398210287094116,0.8495,0.666,0.385,0.048,0.0875,0.119,0.25,0.022,0.034,0.0565,0.174,0.045,0.0595,0.0935,0.256,0.8535,0.15282392026578073,0.7125,0.14221556886227546,0.468,0.14065040650406505,0.8495,0.666,0.385
10,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/16,2.0,0.8855,0.2680478529073298,1.808022752404213,0.8855,-1.5426735877990723,0.258,0.1225,0.092,0.002,0.006,0.058,0.1885,0.0015,0.0055,0.0245,0.075,0.0005,0.004,0.01,0.0605,0.349,0.18733153638814015,0.1305,0.02792022792022792,0.101,0.03634361233480176,0.258,0.1225,0.092,0.675,0.798079339787364,2.2805060409009457,0.675,-1.488357663154602,0.524,0.3885,0.264,0.0295,0.036,0.045,0.209,0.106,0.147,0.179,0.42,0.0635,0.1315,0.194,0.4025,0.5425,0.04726890756302521,0.5215,0.22403924775143091,0.3835,0.18070652173913043,0.524,0.3885,0.264
10,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/17,2.0,0.9825,0.07935565244406462,1.5552370622754097,0.9825,-1.4762506484985352,0.5765,0.45,0.3015,0.0825,0.131,0.182,0.293,0.115,0.1625,0.19,0.264,0.1175,0.15,0.165,0.213,0.642,0.1770956316410862,0.55,0.19636363636363635,0.4665,0.2634216177523264,0.5765,0.45,0.3015,0.991,0.11178632103838027,1.4197909124195576,0.991,-1.3071098327636719,0.798,0.738,0.544,0.077,0.086,0.1045,0.2055,0.0585,0.0745,0.0935,0.2115,0.041,0.0605,0.138,0.237,0.833,0.20297029702970298,0.762,0.1450381679389313,0.565,0.1118421052631579,0.798,0.738,0.544
10,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/18,2.0,0.9965,0.03157886702683754,1.756463896483183,0.9965,-1.7311335802078247,0.721,0.587,0.424,0.0195,0.096,0.2085,0.3305,0.027,0.09,0.154,0.245,0.021,0.063,0.091,0.131,0.724,0.12544802867383512,0.637,0.17796610169491525,0.4555,0.0842013888888889,0.721,0.587,0.424,0.934,0.1443222565576434,1.316600475460291,0.934,-1.1799232959747314,0.689,0.518,0.371,0.082,0.103,0.1275,0.246,0.1255,0.1555,0.2575,0.391,0.048,0.0915,0.1685,0.287,0.745,0.3183279742765273,0.616,0.24688796680497926,0.418,0.11208267090620032,0.689,0.518,0.371
10,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/19,2.0,0.9945,0.042416919430252165,1.3969606682658195,0.9945,-1.3567225933074951,0.655,0.4745,0.303,0.0575,0.1235,0.211,0.33,0.088,0.1245,0.184,0.2335,0.05,0.0765,0.101,0.1535,0.6715,0.0927536231884058,0.559,0.16841103710751665,0.397,0.1406025824964132,0.655,0.4745,0.303,0.973,0.37399002723395824,1.6037360429763794,0.973,-1.2299714088439941,0.7885,0.778,0.761,0.069,0.091,0.1375,0.1985,0.0325,0.063,0.122,0.2195,0.035,0.077,0.126,0.181,0.866,0.39243498817966904,0.8095,0.19369369369369369,0.762,0.20711297071129708,0.7885,0.778,0.761
