max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
32,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/29,2.0,1.0,0.0013385403181018,1.0,0.8435,0.4965,0.2325,0.1445,0.217,0.271,0.3425,0.079,0.142,0.1915,0.313,0.094,0.124,0.162,0.295,0.8595,0.1853035143769968,0.63,0.2651439920556107,0.398,0.222801302931596,0.8435,0.4965,0.2325,29.0,1.6683318130671978,-1.6646987199783323,rel
1,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/3,2.0,1.0,0.0029497469004127,1.0,0.7745,0.447,0.2775,0.183,0.366,0.4185,0.4745,0.0705,0.2055,0.2605,0.3515,0.065,0.1105,0.144,0.2035,0.781,0.1685144124168514,0.5535,0.1998191681735985,0.4315,0.2228373702422145,0.7745,0.447,0.2775,3.0,1.6593392975628376,-1.6527975797653198,rel
64,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/30,2.0,0.9635,0.0865391716361045,0.9635,0.6955,0.464,0.347,0.095,0.267,0.3335,0.4175,0.059,0.227,0.291,0.399,0.022,0.0825,0.14,0.222,0.8505,0.541871921182266,0.659,0.3712686567164179,0.5445,0.3238897396630934,0.6955,0.464,0.347,30.0,1.848539598286152,-1.8186818361282349,rel
64,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/31,2.0,1.0,0.0007301822233785,1.0,0.8485,0.5435,0.3095,0.183,0.264,0.32,0.4085,0.0715,0.1465,0.2325,0.3645,0.072,0.114,0.1455,0.1975,0.8645,0.1254125412541254,0.609,0.1434830230010952,0.4305,0.1774076755973932,0.8485,0.5435,0.3095,31.0,1.656468816101551,-1.6582003831863403,rel
64,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/32,2.0,0.99,0.0514367714058607,0.99,0.717,0.4385,0.286,0.1855,0.292,0.32,0.4025,0.161,0.2955,0.334,0.407,0.0925,0.1605,0.198,0.2765,0.8445,0.4805653710247349,0.635,0.3499554764024933,0.5235,0.3480392156862745,0.717,0.4385,0.286,32.0,-4.002464294433594,-1.6091229915618896,rel
64,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/33,2.0,1.0,0.0011822333071904,1.0,0.847,0.502,0.2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8545,0.0490196078431372,0.5845,0.1656626506024096,0.396,0.1855111712931618,0.847,0.502,0.2615,33.0,-12.136356353759766,2.926016092300415,rel
64,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/34,2.0,1.0,0.0013385403181018,1.0,0.847,0.5125,0.226,0.1445,0.2205,0.276,0.348,0.0615,0.1225,0.1895,0.301,0.0905,0.1165,0.1575,0.2895,0.863,0.1699346405228758,0.63,0.242051282051282,0.391,0.2222222222222222,0.847,0.5125,0.226,34.0,1.6683318130671978,-1.6646987199783323,rel
128,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/35,2.0,0.9635,0.0865391716361045,0.9635,0.696,0.4785,0.3515,0.0875,0.2715,0.3275,0.418,0.0615,0.256,0.314,0.424,0.023,0.086,0.1515,0.2245,0.8565,0.5608552631578947,0.6775,0.3835091083413231,0.5385,0.3114880493446414,0.696,0.4785,0.3515,35.0,1.848539598286152,-1.8186818361282349,rel
128,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/36,2.0,1.0,0.0007976913193488,1.0,0.8525,0.513,0.265,0.214,0.26,0.308,0.3865,0.094,0.2095,0.289,0.3705,0.138,0.209,0.256,0.294,0.87,0.1491525423728813,0.618,0.2156057494866529,0.4565,0.2639455782312925,0.8525,0.513,0.265,36.0,-0.9462370965629816,-1.7359145879745483,rel
128,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/37,2.0,0.9965,0.0377163123921491,0.9965,0.7195,0.436,0.2915,0.144,0.295,0.3245,0.3925,0.1045,0.302,0.342,0.438,0.0585,0.1495,0.1815,0.26,0.848,0.4705882352941176,0.6075,0.3040780141843971,0.496,0.3133380381086803,0.7195,0.436,0.2915,37.0,1.6668427549302578,-1.6276191473007202,rel
128,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/38,2.0,1.0,0.0011822333071904,1.0,0.8445,0.5095,0.2705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8505,0.0385852090032154,0.5835,0.1508664627930682,0.417,0.2042494859492803,0.8445,0.5095,0.2705,38.0,-12.136356353759766,2.926016092300415,rel
128,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/39,2.0,1.0,0.0013385403181018,1.0,0.841,0.491,0.235,0.1625,0.2325,0.2825,0.3535,0.068,0.125,0.1775,0.317,0.092,0.1155,0.1465,0.283,0.8535,0.1698113207547169,0.6025,0.2190569744597249,0.3895,0.2091503267973856,0.841,0.491,0.235,39.0,1.6683318130671978,-1.6646987199783323,rel
1,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/4,2.0,1.0,0.0014591944964195,1.0,0.787,0.408,0.234,0.2235,0.296,0.323,0.4025,0.087,0.142,0.213,0.339,0.053,0.109,0.147,0.239,0.8185,0.2417840375586854,0.543,0.2314189189189189,0.4085,0.2369451697127937,0.787,0.408,0.234,4.0,1.6664182022213936,-1.663330316543579,rel
2,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/5,2.0,0.9645,0.093112951493822,0.9645,0.676,0.455,0.362,0.127,0.304,0.357,0.4545,0.0495,0.241,0.307,0.397,0.016,0.085,0.148,0.207,0.8455,0.5895061728395061,0.652,0.3743119266055046,0.5535,0.3307210031347962,0.676,0.455,0.362,5.0,1.9026318117976189,-1.8129302263259888,rel
2,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/6,2.0,1.0,0.0007301822233785,1.0,0.8395,0.538,0.3,0.196,0.268,0.328,0.411,0.078,0.1535,0.2335,0.371,0.0765,0.118,0.162,0.2175,0.853,0.1183800623052959,0.6,0.1341991341991342,0.431,0.1878571428571428,0.8395,0.538,0.3,6.0,1.656468816101551,-1.6582003831863403,rel
2,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/7,2.0,0.981,0.0777520939009264,0.981,0.5885,0.307,0.2815,0.015,0.1945,0.3565,0.474,0.0035,0.078,0.2965,0.3995,0.002,0.043,0.1495,0.2195,0.817,0.56865127582017,0.5675,0.3766233766233766,0.4695,0.2915796798886569,0.5885,0.307,0.2815,7.0,1.7634618021547794,-1.6929566860198977,rel
2,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/8,2.0,1.0,0.0016122195229399,1.0,0.838,0.4935,0.2655,0.1435,0.3145,0.38,0.432,0.0695,0.2075,0.264,0.3445,0.0615,0.127,0.1565,0.2055,0.829,0.132716049382716,0.5885,0.1934846989141165,0.4455,0.2505105513955071,0.838,0.4935,0.2655,8.0,1.6528629548847675,-1.6470693349838257,rel
2,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/9,2.0,1.0,0.001312111829975,1.0,0.843,0.492,0.221,0.142,0.212,0.271,0.3675,0.0665,0.1315,0.1915,0.3305,0.1065,0.1325,0.169,0.28,0.857,0.2229299363057325,0.6345,0.2824803149606299,0.424,0.2682926829268293,0.843,0.492,0.221,9.0,1.6640029028058052,-1.6607013940811155,rel
