max_epoch,n_seeds,eval/test/acc/mean,eval/test/acc/std,eval/test/clsloss/mean,eval/test/clsloss/std,eval/uq_clean_accuracy/mean,eval/uq_clean_accuracy/std,eval/uq_adv_acc/0.2/mean,eval/uq_adv_acc/0.2/std,eval/uq_adv_acc/0.4/mean,eval/uq_adv_acc/0.4/std,eval/uq_adv_acc/1.0/mean,eval/uq_adv_acc/1.0/std,eval/uq_detection/1pct/0.2/mean,eval/uq_detection/1pct/0.2/std,eval/uq_detection/5pct/0.2/mean,eval/uq_detection/5pct/0.2/std,eval/uq_detection/10pct/0.2/mean,eval/uq_detection/10pct/0.2/std,eval/uq_detection/20pct/0.2/mean,eval/uq_detection/20pct/0.2/std,eval/uq_detection/1pct/0.4/mean,eval/uq_detection/1pct/0.4/std,eval/uq_detection/5pct/0.4/mean,eval/uq_detection/5pct/0.4/std,eval/uq_detection/10pct/0.4/mean,eval/uq_detection/10pct/0.4/std,eval/uq_detection/20pct/0.4/mean,eval/uq_detection/20pct/0.4/std,eval/uq_detection/1pct/1.0/mean,eval/uq_detection/1pct/1.0/std,eval/uq_detection/5pct/1.0/mean,eval/uq_detection/5pct/1.0/std,eval/uq_detection/10pct/1.0/mean,eval/uq_detection/10pct/1.0/std,eval/uq_detection/20pct/1.0/mean,eval/uq_detection/20pct/1.0/std,eval/uq_purify_acc/0.2/0.2/mean,eval/uq_purify_acc/0.2/0.2/std,eval/uq_purify_recovery/0.2/0.2/mean,eval/uq_purify_recovery/0.2/0.2/std,eval/uq_purify_acc/0.4/0.2/mean,eval/uq_purify_acc/0.4/0.2/std,eval/uq_purify_recovery/0.4/0.2/mean,eval/uq_purify_recovery/0.4/0.2/std,eval/uq_purify_acc/1.0/0.2/mean,eval/uq_purify_acc/1.0/0.2/std,eval/uq_purify_recovery/1.0/0.2/mean,eval/uq_purify_recovery/1.0/0.2/std,eval/test/rob/0.2/mean,eval/test/rob/0.2/std,eval/test/rob/0.4/mean,eval/test/rob/0.4/std,eval/test/rob/1.0/mean,eval/test/rob/1.0/std,eval/test/genloss/mean,eval/test/genloss/std,eval/uq_clean_log_px_mean/mean,eval/uq_clean_log_px_mean/std,diff/test/acc/mean,diff/test/acc/std,diff/test/clsloss/mean,diff/test/clsloss/std,diff/uq_clean_accuracy/mean,diff/uq_clean_accuracy/std,diff/uq_adv_acc/0.2/mean,diff/uq_adv_acc/0.2/std,diff/uq_adv_acc/0.4/mean,diff/uq_adv_acc/0.4/std,diff/uq_adv_acc/1.0/mean,diff/uq_adv_acc/1.0/std,diff/uq_detection/1pct/0.2/mean,diff/uq_detection/1pct/0.2/std,diff/uq_detection/5pct/0.2/mean,diff/uq_detection/5pct/0.2/std,diff/uq_detection/10pct/0.2/mean,diff/uq_detection/10pct/0.2/std,diff/uq_detection/20pct/0.2/mean,diff/uq_detection/20pct/0.2/std,diff/uq_detection/1pct/0.4/mean,diff/uq_detection/1pct/0.4/std,diff/uq_detection/5pct/0.4/mean,diff/uq_detection/5pct/0.4/std,diff/uq_detection/10pct/0.4/mean,diff/uq_detection/10pct/0.4/std,diff/uq_detection/20pct/0.4/mean,diff/uq_detection/20pct/0.4/std,diff/uq_detection/1pct/1.0/mean,diff/uq_detection/1pct/1.0/std,diff/uq_detection/5pct/1.0/mean,diff/uq_detection/5pct/1.0/std,diff/uq_detection/10pct/1.0/mean,diff/uq_detection/10pct/1.0/std,diff/uq_detection/20pct/1.0/mean,diff/uq_detection/20pct/1.0/std,diff/uq_purify_acc/0.2/0.2/mean,diff/uq_purify_acc/0.2/0.2/std,diff/uq_purify_recovery/0.2/0.2/mean,diff/uq_purify_recovery/0.2/0.2/std,diff/uq_purify_acc/0.4/0.2/mean,diff/uq_purify_acc/0.4/0.2/std,diff/uq_purify_recovery/0.4/0.2/mean,diff/uq_purify_recovery/0.4/0.2/std,diff/uq_purify_acc/1.0/0.2/mean,diff/uq_purify_acc/1.0/0.2/std,diff/uq_purify_recovery/1.0/0.2/mean,diff/uq_purify_recovery/1.0/0.2/std,diff/test/rob/0.2/mean,diff/test/rob/0.2/std,diff/test/rob/0.4/mean,diff/test/rob/0.4/std,diff/test/rob/1.0/mean,diff/test/rob/1.0/std,diff/test/genloss/mean,diff/test/genloss/std,diff/uq_clean_log_px_mean/mean,diff/uq_clean_log_px_mean/std,range_size,eps_unit
0,5,1.0,0.0,0.0001980259992251,0.0,1.0,0.0,0.741,0.0,0.3465,0.0,0.27,0.0,0.3225,0.0,0.36,0.0,0.3865,0.0,0.4685,0.0,0.1355,0.0,0.207,0.0,0.286,0.0,0.372,0.0,0.094,0.0,0.1325,0.0,0.1755,0.0,0.228,3.103167691559092e-17,0.8025,0.0,0.2606177606177606,0.0,0.4995,0.0,0.2371843917368018,3.103167691559092e-17,0.395,0.0,0.1931506849315068,0.0,0.741,0.0,0.3465,0.0,0.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,rel
1,5,0.9867,0.0189195665912303,0.0383884169579687,0.0504603230855103,0.9867,0.0189195665912303,0.7243,0.1147032039657131,0.4324,0.0977249968022511,0.2881,0.0389011567951391,0.1439,0.0756747976541728,0.2922,0.0483355459263676,0.3612,0.0423343831890816,0.4505,0.0312309942204855,0.0591,0.0295791311569491,0.1856,0.0353984462935875,0.2675,0.0414321734887273,0.3752999999999999,0.0316753058390917,0.0409999999999999,0.0324557390918771,0.1028,0.0127798669789634,0.1552,0.0146483787498821,0.2191,0.0162995398708061,0.8279,0.0323484930097214,0.3573469514202078,0.2454087491403024,0.5812,0.0377998015867808,0.2556253566579339,0.1134218647821199,0.4596,0.0445749369040495,0.258606880415788,0.0623058897424484,0.7243,0.1147032039657131,0.4324,0.0977249968022511,0.2881,0.0389011567951391,1.7362989343702793,0.1151950262218208,-1.6989639282226563,0.0723112018992737,-0.0133,0.0189195665912303,0.0381903909587435,0.0504603230855103,-0.0133,0.0189195665912303,-0.0166999999999999,0.1147032039657131,0.0859,0.0977249968022511,0.0180999999999999,0.0389011567951391,-0.1786,0.0756747976541728,-0.0678,0.0483355459263676,-0.0253,0.0423343831890816,-0.018,0.0312309942204855,-0.0764,0.0295791311569491,-0.0213999999999999,0.0353984462935875,-0.0184999999999999,0.0414321734887273,0.0033,0.0316753058390917,-0.053,0.0324557390918771,-0.0297,0.0127798669789634,-0.0202999999999999,0.0146483787498821,-0.0089,0.0162995398708061,0.0254,0.0323484930097214,0.0967291908024471,0.2454087491403024,0.0817,0.0377998015867808,0.0184409649211321,0.1134218647821199,0.0645999999999999,0.0445749369040495,0.0654561954842812,0.0623058897424484,-0.0166999999999999,0.1147032039657131,0.0859,0.0977249968022511,0.0180999999999999,0.0389011567951391,,,,,2.0,rel
2,5,0.9891,0.016024980499208,0.0349039117942083,0.0464457979921321,0.9891,0.016024980499208,0.757,0.1180217141038037,0.4570999999999999,0.0889131598808635,0.286,0.0515691283618406,0.1247,0.0666629582301895,0.2586,0.0537463952279592,0.3384999999999999,0.0419970237040674,0.4277999999999999,0.0411803958213128,0.0534,0.0297539913288956,0.1622999999999999,0.0639712826196255,0.2585,0.047277108625634,0.3685,0.0308200421803734,0.0525,0.0431726186372798,0.1011,0.0373403267259406,0.157,0.0087535707000058,0.2259,0.0308694833128123,0.8403,0.0168656455553886,0.3264366993306841,0.2342020246361411,0.6085,0.0343565859770728,0.2722198902605524,0.1080244273589575,0.4647,0.0526053704482726,0.2657922120405864,0.0529017909109021,0.757,0.1180217141038037,0.4570999999999999,0.0889131598808635,0.286,0.0515691283618406,1.7278856575489043,0.1079486660416057,-1.6943716049194335,0.0684428481032489,-0.0108999999999999,0.016024980499208,0.0347058857949832,0.0464457979921321,-0.0108999999999999,0.016024980499208,0.016,0.1180217141038037,0.1106,0.0889131598808635,0.0159999999999999,0.0515691283618406,-0.1978,0.0666629582301895,-0.1013999999999999,0.0537463952279592,-0.048,0.0419970237040673,-0.0407,0.0411803958213128,-0.0821,0.0297539913288956,-0.0447,0.0639712826196255,-0.0274999999999999,0.047277108625634,-0.0034999999999999,0.0308200421803734,-0.0415,0.0431726186372798,-0.0314,0.0373403267259406,-0.0184999999999999,0.0087535707000058,-0.0021,0.0308694833128123,0.0377999999999999,0.0168656455553886,0.0658189387129235,0.2342020246361411,0.1089999999999999,0.0343565859770728,0.0350354985237505,0.1080244273589575,0.0696999999999999,0.0526053704482726,0.0726415271090796,0.0529017909109021,0.016,0.1180217141038037,0.1106,0.0889131598808635,0.0159999999999999,0.0515691283618406,,,,,2.0,rel
4,5,0.9911,0.0153720525630118,0.0320280000889397,0.0432035105812619,0.9911,0.0153720525630118,0.7575999999999999,0.120619961034648,0.4563,0.0869860621019252,0.2924,0.0516204901177817,0.1256,0.0715152081728075,0.2632,0.0320402091129255,0.3485,0.0458312120721239,0.433,0.0546008241696039,0.0498,0.0291388915369133,0.1705,0.043364732214093,0.2601,0.0608988916155294,0.3793,0.0586169770629636,0.0470999999999999,0.0308512560522258,0.0978,0.0056080299571239,0.1538,0.012347064428438,0.2266999999999999,0.0248937743221071,0.8465,0.0122219065615803,0.3216969956038737,0.230225616881457,0.6039,0.03645785237778,0.263287896252928,0.1023249725381652,0.4679999999999999,0.0598790447485595,0.2640643761476473,0.05382971286002,0.7575999999999999,0.120619961034648,0.4563,0.0869860621019252,0.2924,0.0516204901177817,1.720777402073145,0.1058889325428376,-1.6917778491973876,0.0726746949268759,-0.0088999999999999,0.0153720525630118,0.0318299740897145,0.0432035105812619,-0.0088999999999999,0.0153720525630118,0.0166,0.1206199610346479,0.1098,0.0869860621019252,0.0223999999999999,0.0516204901177817,-0.1969,0.0715152081728075,-0.0968,0.0320402091129255,-0.038,0.0458312120721239,-0.0355,0.0546008241696039,-0.0857,0.0291388915369133,-0.0364999999999999,0.043364732214093,-0.0258999999999999,0.0608988916155294,0.0072999999999999,0.0586169770629636,-0.0469,0.0308512560522258,-0.0347,0.0056080299571239,-0.0216999999999999,0.012347064428438,-0.0013,0.0248937743221071,0.044,0.0122219065615803,0.0610792349861131,0.2302256168814571,0.1044,0.03645785237778,0.0261035045161261,0.1023249725381652,0.0729999999999999,0.0598790447485595,0.0709136912161404,0.05382971286002,0.0166,0.1206199610346479,0.1098,0.0869860621019252,0.0223999999999999,0.0516204901177817,,,,,2.0,rel
8,5,0.9907,0.0158098070829469,0.0317882850789828,0.0424916974851019,0.9907,0.0158098070829469,0.7747999999999999,0.0933431840039753,0.4770999999999999,0.0739521804952362,0.2888,0.0446830504777818,0.09,0.0809729893236009,0.1972,0.1124808872653483,0.2701,0.1567603266135918,0.3399,0.1980193803646501,0.0421,0.0375256578889697,0.1316,0.086916195268776,0.2101,0.1269105984541874,0.306,0.1793279119378798,0.0364,0.039369086857584,0.0748,0.0442727342729133,0.1233,0.0699165574095292,0.1881,0.1075002325578879,0.8476000000000001,0.0104725832534289,0.275581846811351,0.2306416538475143,0.6107,0.0415746316880859,0.2501082123623027,0.111540022150433,0.4533999999999999,0.0613773166568888,0.2495309573641092,0.0676983306815169,0.7747999999999999,0.0933431840039753,0.4770999999999999,0.0739521804952362,0.2888,0.0446830504777818,-1.0806128419935703,6.181227499028052,-0.7809767007827759,2.073294396688246,-0.0092999999999999,0.0158098070829469,0.0315902590797577,0.0424916974851019,-0.0092999999999999,0.0158098070829469,0.0338,0.0933431840039753,0.1306,0.0739521804952362,0.0187999999999999,0.0446830504777818,-0.2324999999999999,0.0809729893236009,-0.1627999999999999,0.1124808872653483,-0.1164,0.1567603266135918,-0.1286,0.1980193803646501,-0.0934,0.0375256578889697,-0.0754,0.086916195268776,-0.0758999999999999,0.1269105984541874,-0.066,0.1793279119378798,-0.0576,0.039369086857584,-0.0577,0.0442727342729133,-0.0521999999999999,0.0699165574095292,-0.0399,0.1075002325578879,0.0451,0.0104725832534289,0.0149640861935904,0.2306416538475143,0.1112,0.0415746316880859,0.0129238206255009,0.111540022150433,0.0583999999999999,0.0613773166568888,0.0563802724326023,0.0676983306815169,0.0338,0.0933431840039753,0.1306,0.0739521804952362,0.0187999999999999,0.0446830504777818,,,,,2.0,rel
16,5,0.9911,0.0158129693606229,0.0314356600190876,0.0421097167021593,0.9911,0.0158129693606229,0.7772,0.0904548229781032,0.4806,0.0577087515026967,0.2908,0.0486191834567385,0.0841,0.0824237526444895,0.1847,0.112266201503391,0.2403,0.1363697180461996,0.3208999999999999,0.1820231441328272,0.0379,0.0345694952233902,0.1181,0.0849421862209821,0.1885,0.1118307873530362,0.2962,0.1697772805766425,0.0391,0.0420407540370055,0.076,0.0497053820023546,0.1238,0.0693664183881509,0.1914,0.1090501031636375,0.8525,0.0103259382140316,0.2836398496341193,0.2369562841539017,0.6159,0.0348288673373109,0.2541893646016513,0.1135068533527412,0.4581,0.0608198158497705,0.253490810899633,0.0563439730215496,0.7772,0.0904548229781032,0.4806,0.0577087515026967,0.2908,0.0486191834567385,-1.058785091340542,6.193064638856393,-0.782691240310669,2.074236684672087,-0.0088999999999999,0.0158129693606229,0.0312376340198625,0.0421097167021593,-0.0088999999999999,0.0158129693606229,0.0362,0.0904548229781032,0.1341,0.0577087515026967,0.0207999999999999,0.0486191834567385,-0.2384,0.0824237526444895,-0.1752999999999999,0.112266201503391,-0.1462,0.1363697180461996,-0.1476,0.1820231441328272,-0.0976,0.0345694952233902,-0.0889,0.0849421862209821,-0.0974999999999999,0.1118307873530362,-0.0758,0.1697772805766425,-0.0548999999999999,0.0420407540370055,-0.0565,0.0497053820023546,-0.0516999999999999,0.0693664183881509,-0.0366,0.1090501031636375,0.05,0.0103259382140316,0.0230220890163587,0.2369562841539017,0.1164,0.0348288673373109,0.0170049728648494,0.1135068533527412,0.0630999999999999,0.0608198158497705,0.0603401259681261,0.0563439730215496,0.0362,0.0904548229781032,0.1341,0.0577087515026967,0.0207999999999999,0.0486191834567385,,,,,2.0,rel
32,5,0.9911,0.0158129693606229,0.0300252542971065,0.0406989605339278,0.9911,0.0158129693606229,0.7836000000000001,0.0840255913397817,0.4781000000000001,0.0651463736519539,0.287,0.0478330429724055,0.0861999999999999,0.0779171033855853,0.195,0.1125838576350979,0.2552,0.1457466123105439,0.3225,0.1841259758969385,0.0446,0.0367038826284086,0.1357999999999999,0.0857165386608675,0.2017999999999999,0.1210498864105208,0.2921999999999999,0.1670264200658087,0.0369,0.0414553977185118,0.0795,0.0482117724212665,0.119,0.0671332629923497,0.1924,0.1124985555462824,0.8535,0.006791538853603,0.2814759436995739,0.23130224449439,0.6138999999999999,0.0271348484425471,0.2540781697376232,0.1122782022190703,0.4514,0.0651166261411016,0.2456741195758869,0.0599092639066132,0.7836000000000001,0.0840255913397817,0.4781000000000001,0.0651463736519539,0.287,0.0478330429724055,-1.2808564443141222,6.089841574102737,-0.7859365940093994,2.076038500565982,-0.0088999999999999,0.0158129693606229,0.0298272282978814,0.0406989605339278,-0.0088999999999999,0.0158129693606229,0.0426,0.0840255913397817,0.1316,0.0651463736519539,0.0169999999999999,0.0478330429724055,-0.2363,0.0779171033855853,-0.1649999999999999,0.1125838576350979,-0.1313,0.1457466123105439,-0.146,0.1841259758969385,-0.0909,0.0367038826284086,-0.0712,0.0857165386608675,-0.0841999999999999,0.1210498864105208,-0.0798,0.1670264200658087,-0.0571,0.0414553977185118,-0.053,0.0482117724212665,-0.0564999999999999,0.0671332629923497,-0.0356,0.1124985555462824,0.051,0.006791538853603,0.0208581830818133,0.23130224449439,0.1144,0.0271348484425471,0.0168937780008214,0.1122782022190703,0.0563999999999999,0.0651166261411016,0.05252343464438,0.0599092639066132,0.0426,0.0840255913397817,0.1316,0.0651463736519539,0.0169999999999999,0.0478330429724055,,,,,2.0,rel
64,5,0.9907,0.0158098070829469,0.0282453797781272,0.0392093254785258,0.9907,0.0158098070829469,0.791,0.0777407550773723,0.4921,0.0412877100357963,0.286,0.0460258079776987,0.1216,0.077252346242687,0.2086999999999999,0.1194684058653165,0.2499,0.1413755636593538,0.3152999999999999,0.1783383722029558,0.0706,0.0578245190209136,0.1583,0.1118294460327869,0.2093999999999999,0.1293847943152517,0.2943,0.1697415682736553,0.0554,0.0420377806264793,0.0946999999999999,0.0597793860791493,0.1282,0.0751736323453909,0.1971,0.1165232809356139,0.8553999999999998,0.0084291162051546,0.2733608163654278,0.2224559420877462,0.6234999999999999,0.0281336097932704,0.2544842177547396,0.1038249492291218,0.4570999999999999,0.0722109756200537,0.251414004892429,0.0794692454964581,0.791,0.0777407550773723,0.4921,0.0412877100357963,0.286,0.0460258079776987,-2.193096084147692,6.087011426508537,-0.7649375677108765,2.0648034726128603,-0.0092999999999999,0.0158098070829469,0.0280473537789021,0.0392093254785258,-0.0092999999999999,0.0158098070829469,0.05,0.0777407550773723,0.1456,0.0412877100357963,0.0159999999999999,0.0460258079776987,-0.2009,0.077252346242687,-0.1513,0.1194684058653165,-0.1366,0.1413755636593538,-0.1532,0.1783383722029558,-0.0649,0.0578245190209136,-0.0486999999999999,0.1118294460327869,-0.0765999999999999,0.1293847943152517,-0.0777,0.1697415682736553,-0.0386,0.0420377806264793,-0.0378,0.0597793860791493,-0.0472999999999999,0.0751736323453909,-0.0309,0.1165232809356139,0.0529,0.0084291162051546,0.0127430557476672,0.2224559420877462,0.124,0.0281336097932704,0.0172998260179377,0.1038249492291218,0.0620999999999999,0.0722109756200537,0.0582633199609221,0.0794692454964581,0.05,0.0777407550773723,0.1456,0.0412877100357963,0.0159999999999999,0.0460258079776987,,,,,2.0,rel
128,5,0.992,0.0160039057732792,0.0255147897945789,0.037617654212598,0.992,0.0160039057732792,0.7907,0.0762910545214837,0.4856,0.0310712889980444,0.2827,0.0434404765167234,0.1216,0.0816420541142859,0.2118,0.1205169075275332,0.2485,0.1400584699330961,0.3101,0.1748675927666415,0.0656,0.040760581448257,0.1785,0.1193147099061972,0.2245,0.1401659730462425,0.3098999999999999,0.1797144957981965,0.0623,0.0548926224551168,0.112,0.0775362818298633,0.1470999999999999,0.0931406194954704,0.2123,0.1216231885784943,0.8557,0.0086066834495059,0.2777985141165652,0.225123868730563,0.6178,0.0356398653196108,0.2546232618530333,0.0902913816132713,0.4595000000000001,0.0597672569221643,0.260434295686256,0.0529254171929593,0.7907,0.0762910545214837,0.4856,0.0310712889980444,0.2827,0.0434404765167234,-1.579775856807828,6.014292266222601,-0.7841796398162841,2.0753463945599564,-0.0079999999999999,0.0160039057732792,0.0253167637953538,0.037617654212598,-0.0079999999999999,0.0160039057732792,0.0497,0.0762910545214837,0.1391,0.0310712889980444,0.0126999999999999,0.0434404765167234,-0.2009,0.0816420541142859,-0.1481999999999999,0.1205169075275332,-0.138,0.1400584699330961,-0.1584,0.1748675927666416,-0.0699,0.040760581448257,-0.0284999999999999,0.1193147099061972,-0.0614999999999999,0.1401659730462425,-0.0621,0.1797144957981965,-0.0317,0.0548926224551168,-0.0205,0.0775362818298633,-0.0283999999999999,0.0931406194954704,-0.0157,0.1216231885784943,0.0532,0.0086066834495059,0.0171807534988046,0.225123868730563,0.1183,0.0356398653196108,0.0174388701162314,0.0902913816132713,0.0644999999999999,0.0597672569221643,0.0672836107547492,0.0529254171929593,0.0497,0.0762910545214837,0.1391,0.0310712889980444,0.0126999999999999,0.0434404765167234,,,,,2.0,rel
