run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.generative.criterion.kwargs.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.05/0.15,uq_purify_recovery/0.05/0.15,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.1/0.15,uq_purify_recovery/0.1/0.15,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,uq_purify_acc/0.15/0.15,uq_purify_recovery/0.15/0.15,uq_clean_purify_acc/0.1,uq_clean_purify_acc/0.15,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.05/0.15,uq_joint_purify_recovery/0.05/0.15,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.1/0.15,uq_joint_purify_recovery/0.1/0.15,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,uq_joint_purify_acc/0.15/0.15,uq_joint_purify_recovery/0.15/0.15,range_size,eps_unit
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/0,ecg200,1,42,,0.88,0.5159683227539062,2.775519847869873,0.68,0.42,0.1,0.88,-2.259551763534546,0.68,0.44,0.12,0.12,0.14,0.2,0.34,0.24,0.26,0.3,0.54,0.46,0.48,0.58,0.78,0.5,0.5714285714285714,0.6,0.5882352941176471,0.6666666666666666,0.6923076923076923,0.7333333333333333,0.6666666666666666,0.9565217391304348,0.9166666666666666,0.9310344827586208,0.8974358974358975,0.2954545454545454,0.2790697674418604,0.25,0.1818181818181818,0.5263157894736842,0.5135135135135135,0.4857142857142857,0.4347826086956521,0.8148148148148148,0.8461538461538461,0.8095238095238095,0.8181818181818182,0.74,0.1875,0.74,0.1875,0.6,0.2857142857142857,0.64,0.3571428571428571,0.42,0.3409090909090909,0.52,0.4545454545454545,0.8,0.84,0.8,0.76,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.26,0.26,0.26,0.26,0.8,0.2,0.78,0.2,0.76,0.0833333333333333,0.76,0.25,0.76,0.2307692307692307,0.76,0.2307692307692307,2.0,rel
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/1,ecg200,2,42,,0.88,0.5417568683624268,3.004938840866089,0.66,0.42,0.14,0.88,-2.463181972503662,0.66,0.36,0.18,0.12,0.12,0.16,0.34,0.24,0.26,0.32,0.56,0.52,0.58,0.66,0.78,0.6666666666666666,0.6666666666666666,0.625,0.7058823529411765,0.8333333333333334,0.8461538461538461,0.875,0.7857142857142857,0.9230769230769232,0.896551724137931,0.8787878787878788,0.8461538461538461,0.2954545454545454,0.2954545454545454,0.2857142857142857,0.1515151515151515,0.5789473684210527,0.5675675675675675,0.5294117647058824,0.4545454545454545,0.7083333333333334,0.7142857142857143,0.7058823529411765,0.7272727272727273,0.72,0.1764705882352941,0.72,0.1764705882352941,0.6,0.40625,0.64,0.46875,0.54,0.4390243902439024,0.58,0.4878048780487805,0.82,0.84,0.78,0.76,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.28,0.28,0.28,0.28,0.78,0.1818181818181818,0.78,0.1818181818181818,0.8,0.1666666666666666,0.8,0.25,0.8,0.2857142857142857,0.78,0.2857142857142857,2.0,rel
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/2,ecg200,3,42,,0.84,0.4983998835086822,2.876434564590454,0.7,0.42,0.1,0.84,-2.3780345916748047,0.7,0.46,0.08,0.18,0.2,0.24,0.3,0.28,0.28,0.34,0.52,0.52,0.52,0.66,0.78,0.5555555555555556,0.5,0.5833333333333334,0.5333333333333333,0.7857142857142857,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.9615384615384616,0.9615384615384616,0.9393939393939394,0.9487179487179488,0.2439024390243902,0.25,0.2105263157894736,0.2,0.4444444444444444,0.4444444444444444,0.4242424242424242,0.375,0.875,0.875,0.8823529411764706,0.8181818181818182,0.76,0.2666666666666666,0.76,0.2666666666666666,0.66,0.3703703703703703,0.68,0.4074074074074074,0.58,0.5434782608695652,0.62,0.5869565217391305,0.82,0.84,0.8,0.78,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.28,0.28,0.28,0.28,0.8,0.1,0.8,0.1,0.78,0.0,0.78,0.0,0.74,0.0714285714285714,0.76,0.1428571428571428,2.0,rel
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/3,ecg200,4,42,,0.88,0.4959065020084381,3.108398914337158,0.7,0.38,0.16,0.88,-2.612492322921753,0.68,0.44,0.1,0.1,0.16,0.24,0.3,0.28,0.32,0.44,0.54,0.44,0.48,0.54,0.7,1.0,0.625,0.5,0.6,0.7142857142857143,0.6875,0.6818181818181818,0.6666666666666666,0.9545454545454546,0.9583333333333334,0.925925925925926,0.9428571428571428,0.2444444444444444,0.2619047619047619,0.2631578947368421,0.2,0.5,0.5,0.4642857142857143,0.4347826086956521,0.8571428571428571,0.8461538461538461,0.8695652173913043,0.8,0.76,0.25,0.76,0.25,0.62,0.3214285714285714,0.66,0.3928571428571428,0.56,0.5111111111111111,0.6,0.5555555555555556,0.82,0.86,0.78,0.76,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.8,0.1818181818181818,0.82,0.2727272727272727,0.78,0.0833333333333333,0.82,0.25,0.82,0.1818181818181818,0.82,0.1818181818181818,2.0,rel
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/4,ecg200,5,42,,0.88,0.5150172114372253,2.8915116786956787,0.66,0.42,0.14,0.88,-2.376494646072388,0.68,0.4,0.1,0.14,0.16,0.18,0.28,0.28,0.34,0.34,0.48,0.58,0.62,0.64,0.84,0.5714285714285714,0.625,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.7647058823529411,0.7647058823529411,0.7916666666666666,0.9655172413793104,0.967741935483871,0.9375,0.9285714285714286,0.2790697674418604,0.2619047619047619,0.2439024390243902,0.2222222222222222,0.5555555555555556,0.5151515151515151,0.5151515151515151,0.4230769230769231,0.8095238095238095,0.7894736842105263,0.8333333333333334,0.75,0.72,0.1875,0.74,0.25,0.58,0.3333333333333333,0.62,0.4,0.54,0.4888888888888889,0.58,0.5333333333333333,0.82,0.86,0.8,0.76,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.28,0.28,0.28,0.28,0.78,0.2,0.8,0.3,0.8,0.1666666666666666,0.78,0.25,0.78,0.2142857142857142,0.78,0.2857142857142857,2.0,rel
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/5,ecg200,6,42,,0.88,0.5271947383880615,2.8859691619873047,0.66,0.4,0.1,0.88,-2.3587746620178223,0.66,0.38,0.1,0.16,0.16,0.18,0.28,0.26,0.32,0.36,0.52,0.46,0.5,0.5,0.82,0.625,0.625,0.6666666666666666,0.5,0.6923076923076923,0.75,0.7777777777777778,0.8076923076923077,1.0,1.0,1.0,0.926829268292683,0.2857142857142857,0.2857142857142857,0.2682926829268293,0.2777777777777778,0.5945945945945946,0.5588235294117647,0.53125,0.4166666666666667,0.8148148148148148,0.8,0.8,0.7777777777777778,0.72,0.2352941176470588,0.72,0.2352941176470588,0.58,0.3225806451612903,0.62,0.3870967741935484,0.56,0.5111111111111111,0.64,0.6,0.82,0.84,0.78,0.74,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.76,0.1818181818181818,0.78,0.2727272727272727,0.76,0.1538461538461538,0.78,0.2307692307692307,0.76,0.0833333333333333,0.76,0.0833333333333333,2.0,rel
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/6,ecg200,7,42,,0.86,0.5663349032402039,2.76448917388916,0.64,0.4,0.14,0.86,-2.1981539726257324,0.66,0.4,0.12,0.08,0.1,0.12,0.3,0.26,0.28,0.32,0.64,0.52,0.52,0.56,0.78,0.75,0.8,0.8333333333333334,0.6666666666666666,0.8461538461538461,0.8571428571428571,0.875,0.65625,0.9615384615384616,0.9615384615384616,0.9642857142857144,0.9487179487179488,0.3043478260869565,0.2888888888888888,0.2727272727272727,0.2,0.5135135135135135,0.5,0.4705882352941176,0.5,0.7916666666666666,0.7916666666666666,0.7727272727272727,0.6363636363636364,0.74,0.2352941176470588,0.74,0.2352941176470588,0.6,0.3333333333333333,0.68,0.4666666666666667,0.5,0.4318181818181818,0.56,0.5,0.8,0.84,0.78,0.72,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.28,0.28,0.28,0.28,0.24,0.24,0.24,0.24,0.78,0.1818181818181818,0.76,0.1818181818181818,0.78,0.2142857142857142,0.78,0.2142857142857142,0.78,0.0833333333333333,0.76,0.0833333333333333,2.0,rel
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/7,ecg200,8,42,,0.88,0.5541829466819763,2.924884557723999,0.64,0.36,0.12,0.88,-2.370701551437378,0.64,0.42,0.12,0.1,0.12,0.14,0.26,0.28,0.3,0.3,0.5,0.5,0.5,0.54,0.78,0.8,0.6666666666666666,0.7142857142857143,0.7692307692307693,0.8571428571428571,0.8,0.8,0.76,0.96,0.96,0.9629629629629628,0.9230769230769232,0.3111111111111111,0.3181818181818182,0.3023255813953488,0.2162162162162162,0.4722222222222222,0.4857142857142857,0.4857142857142857,0.4,0.8,0.8,0.782608695652174,0.7272727272727273,0.72,0.2222222222222222,0.72,0.2222222222222222,0.62,0.3793103448275862,0.64,0.4137931034482758,0.52,0.4545454545454545,0.56,0.5,0.82,0.84,0.78,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.76,0.1818181818181818,0.76,0.1818181818181818,0.78,0.2142857142857142,0.76,0.2142857142857142,0.76,0.2142857142857142,0.74,0.1428571428571428,2.0,rel
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/8,ecg200,9,42,,0.84,0.5423300266265869,2.892739534378052,0.66,0.4,0.16,0.84,-2.350409507751465,0.66,0.42,0.08,0.14,0.16,0.18,0.28,0.34,0.36,0.38,0.5,0.6,0.6,0.6,0.78,0.7142857142857143,0.75,0.7777777777777778,0.6428571428571429,0.7647058823529411,0.7777777777777778,0.7368421052631579,0.76,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9487179487179488,0.2790697674418604,0.2619047619047619,0.2439024390243902,0.2222222222222222,0.4848484848484848,0.46875,0.4838709677419355,0.4,0.85,0.85,0.85,0.8181818181818182,0.72,0.1764705882352941,0.76,0.2941176470588235,0.6,0.3103448275862069,0.64,0.3793103448275862,0.48,0.4347826086956521,0.54,0.5,0.82,0.84,0.78,0.74,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.28,0.28,0.28,0.28,0.78,0.1818181818181818,0.78,0.1818181818181818,0.76,0.0769230769230769,0.76,0.1538461538461538,0.78,0.2142857142857142,0.76,0.2142857142857142,2.0,rel
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a1_2707/9,ecg200,10,42,,0.88,0.4981987774372101,2.958474636077881,0.66,0.46,0.12,0.88,-2.460275888442993,0.64,0.4,0.08,0.06,0.1,0.16,0.3,0.2,0.32,0.34,0.58,0.46,0.56,0.62,0.78,0.6666666666666666,0.8,0.75,0.7333333333333333,0.8,0.6875,0.7058823529411765,0.6896551724137931,1.0,1.0,1.0,0.9743589743589745,0.3404255319148936,0.3111111111111111,0.2857142857142857,0.2,0.55,0.5588235294117647,0.5454545454545454,0.4761904761904761,0.8518518518518519,0.8181818181818182,0.7894736842105263,0.7272727272727273,0.72,0.2222222222222222,0.74,0.2777777777777778,0.62,0.4,0.64,0.4333333333333333,0.52,0.4782608695652174,0.6,0.5652173913043478,0.82,0.84,0.78,0.76,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.3,0.3,0.3,0.3,0.78,0.1818181818181818,0.76,0.1818181818181818,0.78,0.1666666666666666,0.76,0.25,0.74,0.2,0.76,0.2666666666666666,2.0,rel
