run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.nll.alpha,config/trainer.adversarial.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.05/0.15,uq_purify_recovery/0.05/0.15,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.1/0.15,uq_purify_recovery/0.1/0.15,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,uq_purify_acc/0.15/0.15,uq_purify_recovery/0.15/0.15,uq_clean_purify_acc/0.1,uq_clean_purify_acc/0.15,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.05/0.15,uq_joint_purify_recovery/0.05/0.15,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.1/0.15,uq_joint_purify_recovery/0.1/0.15,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,uq_joint_purify_acc/0.15/0.15,uq_joint_purify_recovery/0.15/0.15,range_size,eps_unit
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/0,ecg200,1,42,0.01,,0.82,0.6677639484405518,32.95620346069336,0.54,0.36,0.24,0.82,-32.2884407043457,0.54,0.36,0.3,0.04,0.12,0.18,0.26,0.02,0.16,0.2,0.28,0.1,0.2,0.26,0.36,0.5,0.8333333333333334,0.7777777777777778,0.7692307692307693,1.0,0.875,0.9,0.9285714285714286,1.0,0.8,0.8461538461538461,0.8888888888888888,0.4583333333333333,0.4090909090909091,0.3902439024390244,0.3513513513513513,0.6326530612244898,0.5952380952380952,0.575,0.5277777777777778,0.6666666666666666,0.675,0.6486486486486487,0.59375,0.74,0.4347826086956521,0.74,0.4347826086956521,0.68,0.5,0.74,0.59375,0.66,0.5142857142857142,0.74,0.6285714285714286,0.8,0.74,0.72,0.66,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.28,0.28,0.28,0.28,0.34,0.34,0.34,0.34,0.38,0.38,0.38,0.38,0.72,0.2142857142857142,0.72,0.2857142857142857,0.72,0.3529411764705882,0.74,0.4117647058823529,0.68,0.1578947368421052,0.72,0.2631578947368421,2.0,rel
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/1,ecg200,2,42,0.01,,0.8,0.539132297039032,29.406917572021484,0.58,0.32,0.14,0.8,-28.867786407470703,0.6,0.36,0.26,0.04,0.16,0.18,0.24,0.02,0.12,0.18,0.24,0.1,0.3,0.3,0.42,1.0,0.75,0.7777777777777778,0.6666666666666666,1.0,0.5,0.5555555555555556,0.5833333333333334,0.4,0.5333333333333333,0.5333333333333333,0.6190476190476191,0.375,0.3333333333333333,0.3170731707317073,0.3157894736842105,0.6326530612244898,0.6590909090909091,0.6585365853658537,0.6578947368421053,0.7777777777777778,0.8285714285714286,0.8285714285714286,0.8275862068965517,0.72,0.3,0.76,0.4,0.68,0.5,0.74,0.59375,0.66,0.5405405405405406,0.72,0.6216216216216216,0.78,0.78,0.72,0.66,0.66,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5,,,,,,,,,0.28,0.28,0.2857142857142857,0.2708333333333333,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.78,0.2857142857142857,0.74,0.2857142857142857,0.74,0.2941176470588235,0.72,0.2352941176470588,0.76,0.2941176470588235,0.76,0.2941176470588235,2.0,rel
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/2,ecg200,3,42,0.01,,0.8,0.5524951219558716,30.77705192565918,0.62,0.46,0.38,0.8,-30.22455596923828,0.62,0.5,0.26,0.06,0.08,0.16,0.26,0.08,0.08,0.24,0.32,0.06,0.12,0.26,0.44,0.6666666666666666,0.5,0.625,0.5384615384615384,0.75,0.75,0.75,0.6875,1.0,0.8333333333333334,0.9230769230769232,0.9090909090909092,0.3617021276595745,0.3695652173913043,0.3333333333333333,0.3243243243243243,0.4782608695652174,0.4782608695652174,0.4210526315789473,0.4117647058823529,0.723404255319149,0.7272727272727273,0.6756756756756757,0.6071428571428571,0.72,0.2631578947368421,0.72,0.2631578947368421,0.66,0.32,0.66,0.32,0.58,0.4324324324324324,0.54,0.3783783783783784,0.8,0.82,0.7,0.68,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.74,0.1333333333333333,0.74,0.1333333333333333,0.68,0.0,0.7,0.0625,0.68,0.0,0.62,0.0,2.0,rel
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/3,ecg200,4,42,0.01,,0.8,0.8141978979110718,28.510498046875,0.5,0.42,0.36,0.8,-27.6963005065918,0.48,0.42,0.4,0.08,0.12,0.16,0.22,0.08,0.16,0.22,0.32,0.14,0.22,0.3,0.46,0.75,0.8333333333333334,0.875,0.8181818181818182,1.0,0.875,0.8181818181818182,0.875,0.4285714285714285,0.5454545454545454,0.5333333333333333,0.6521739130434783,0.5,0.4772727272727273,0.4523809523809524,0.4358974358974359,0.5434782608695652,0.5238095238095238,0.5128205128205128,0.4411764705882353,0.627906976744186,0.6153846153846154,0.6285714285714286,0.5555555555555556,0.62,0.2692307692307692,0.62,0.2692307692307692,0.62,0.3448275862068966,0.62,0.3448275862068966,0.56,0.2666666666666666,0.54,0.2333333333333333,0.8,0.78,0.64,0.58,0.54,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.36,0.36,0.36,0.3673469387755102,0.42,0.42,0.42,0.42,0.46,0.46,0.46,0.46,0.68,0.1111111111111111,0.7,0.1666666666666666,0.6,0.0476190476190476,0.58,0.0,0.54,0.0434782608695652,0.56,0.0869565217391304,2.0,rel
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/4,ecg200,5,42,0.01,,0.8,0.6406631469726562,27.36710357666016,0.52,0.48,0.36,0.8,-26.7264404296875,0.54,0.48,0.42,0.0,0.08,0.14,0.26,0.02,0.16,0.2,0.32,0.06,0.3,0.36,0.5,,0.75,0.7142857142857143,0.8461538461538461,1.0,0.75,0.8,0.8125,1.0,0.7333333333333333,0.7222222222222222,0.72,0.46,0.4347826086956521,0.4186046511627907,0.3243243243243243,0.5102040816326531,0.4761904761904761,0.45,0.3823529411764705,0.5531914893617021,0.5142857142857142,0.5,0.44,0.72,0.391304347826087,0.74,0.4347826086956521,0.6,0.2307692307692307,0.6,0.2307692307692307,0.58,0.2758620689655172,0.56,0.2413793103448276,0.84,0.84,0.76,0.62,0.56,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.3333333333333333,,,,,,,,,0.24,0.24,0.2244897959183673,0.2340425531914893,0.38,0.38,0.38,0.38,0.44,0.44,0.44,0.44,0.72,0.0,0.74,0.0,0.68,0.1578947368421052,0.68,0.1578947368421052,0.56,0.0909090909090909,0.56,0.0909090909090909,2.0,rel
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/5,ecg200,6,42,0.01,,0.82,0.4766826629638672,37.756126403808594,0.54,0.42,0.28,0.82,-37.27944564819336,0.56,0.38,0.28,0.06,0.1,0.14,0.18,0.1,0.14,0.22,0.22,0.16,0.18,0.26,0.28,0.6666666666666666,0.6,0.7142857142857143,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425531914893617,0.4222222222222222,0.3953488372093023,0.4146341463414634,0.5777777777777777,0.5581395348837209,0.5128205128205128,0.5128205128205128,0.6666666666666666,0.6585365853658537,0.6216216216216216,0.6111111111111112,0.74,0.4545454545454545,0.74,0.4545454545454545,0.68,0.4838709677419355,0.68,0.4838709677419355,0.64,0.5,0.64,0.5,0.8,0.8,0.76,0.68,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.32,0.32,0.32,0.32,0.42,0.42,0.42,0.42,0.76,0.25,0.7,0.25,0.62,0.0,0.66,0.125,0.52,0.0,0.64,0.2857142857142857,2.0,rel
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/6,ecg200,7,42,0.01,,0.82,0.4853513240814209,28.53039932250977,0.58,0.2,0.0,0.82,-28.0450496673584,0.58,0.18,0.02,0.06,0.14,0.14,0.24,0.08,0.12,0.24,0.42,0.16,0.26,0.32,0.52,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5833333333333334,0.75,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.875,0.9230769230769232,0.9375,0.9615384615384616,0.4042553191489361,0.3953488372093023,0.3953488372093023,0.3684210526315789,0.8260869565217391,0.8181818181818182,0.8157894736842105,0.7931034482758621,1.0,1.0,1.0,1.0,0.72,0.3333333333333333,0.72,0.3333333333333333,0.62,0.5365853658536586,0.7,0.6341463414634146,0.54,0.5306122448979592,0.56,0.5510204081632653,0.82,0.78,0.72,0.7,0.64,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6666666666666666,,,,,,,,,0.28,0.28,0.28,0.2553191489361702,0.3,0.3,0.3,0.3,0.36,0.36,0.36,0.36,0.72,0.2142857142857142,0.74,0.2857142857142857,0.72,0.2,0.76,0.3333333333333333,0.7,0.2222222222222222,0.7,0.2222222222222222,2.0,rel
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/7,ecg200,8,42,0.01,,0.84,0.5067524313926697,26.41212272644043,0.58,0.42,0.3,0.84,-25.905372619628903,0.58,0.44,0.3,0.04,0.14,0.22,0.24,0.04,0.16,0.24,0.34,0.16,0.26,0.3,0.4,1.0,0.5714285714285714,0.6363636363636364,0.6666666666666666,0.5,0.75,0.75,0.8235294117647058,0.875,0.9230769230769232,0.8666666666666667,0.85,0.3958333333333333,0.3953488372093023,0.358974358974359,0.3421052631578947,0.5625,0.5238095238095238,0.5,0.4242424242424242,0.6666666666666666,0.6216216216216216,0.6285714285714286,0.6,0.72,0.4285714285714285,0.72,0.4285714285714285,0.6,0.2857142857142857,0.64,0.3571428571428571,0.58,0.4,0.64,0.4857142857142857,0.82,0.78,0.72,0.66,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.28,0.28,0.28,0.28,0.34,0.34,0.34,0.34,0.4,0.4,0.4,0.4,0.72,0.2142857142857142,0.72,0.2142857142857142,0.72,0.2352941176470588,0.72,0.2352941176470588,0.66,0.15,0.64,0.15,2.0,rel
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/8,ecg200,9,42,0.01,,0.78,0.5978641510009766,34.35866165161133,0.56,0.3,0.14,0.78,-33.760799407958984,0.58,0.26,0.06,0.1,0.16,0.24,0.28,0.1,0.18,0.24,0.32,0.12,0.26,0.3,0.4,0.4,0.625,0.5833333333333334,0.5,0.8,0.8888888888888888,0.8333333333333334,0.875,0.8333333333333334,0.9230769230769232,0.9333333333333332,0.95,0.4222222222222222,0.3809523809523809,0.3684210526315789,0.3888888888888889,0.7333333333333333,0.7073170731707317,0.7105263157894737,0.6764705882352942,0.9545454545454546,0.945945945945946,0.9428571428571428,0.9333333333333332,0.74,0.3809523809523809,0.74,0.3809523809523809,0.66,0.5405405405405406,0.64,0.5135135135135135,0.6,0.574468085106383,0.58,0.5531914893617021,0.82,0.82,0.74,0.74,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.42,0.42,0.42,0.42,0.74,0.0769230769230769,0.72,0.0769230769230769,0.74,0.0769230769230769,0.74,0.0769230769230769,0.7,0.2857142857142857,0.7,0.2857142857142857,2.0,rel
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a001_2707/9,ecg200,10,42,0.01,,0.8,0.4465576708316803,24.508846282958984,0.62,0.32,0.12,0.8,-24.06229019165039,0.62,0.36,0.16,0.02,0.16,0.28,0.3,0.04,0.28,0.32,0.38,0.08,0.38,0.44,0.52,1.0,0.75,0.7142857142857143,0.6666666666666666,1.0,0.8571428571428571,0.875,0.8947368421052632,0.75,0.8947368421052632,0.9090909090909092,0.8846153846153846,0.3673469387755102,0.3095238095238095,0.25,0.2571428571428571,0.625,0.5555555555555556,0.5294117647058824,0.4838709677419355,0.8478260869565217,0.8064516129032258,0.7857142857142857,0.7916666666666666,0.8,0.4736842105263157,0.8,0.4736842105263157,0.78,0.65625,0.78,0.65625,0.74,0.6904761904761905,0.76,0.7142857142857143,0.84,0.82,0.72,0.74,0.58,0.0,0.02,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6666666666666666,,,,,,,,,0.28,0.2857142857142857,0.2857142857142857,0.2553191489361702,0.26,0.26,0.26,0.26,0.42,0.42,0.42,0.42,0.78,0.2857142857142857,0.78,0.2857142857142857,0.74,0.2307692307692307,0.74,0.2307692307692307,0.7,0.3333333333333333,0.7,0.3333333333333333,2.0,rel
