,mean,std,count
config/tracking.seed,3.0,1.5811388300841898,5.0
config/sampler.num_steps,20.0,0.0,5.0
config/sampler.step_size,0.01,0.0,5.0
config/sampler.noise_std,0.005,0.0,5.0
dis_loss,0.4842922164916992,0.015565873440184383,5.0
acc,0.8759714285714286,0.0053130566935213185,5.0
uq_clean_accuracy,0.8759714285714286,0.0053130566935213185,5.0
alpha,,,0.0
parameters,349040.0,0.0,5.0
sgld_purify_radius,0.2,0.0,5.0
sgld_steps_per_sweep,20.0,0.0,5.0
sgld_purify_step_size,0.01,0.0,5.0
sgld_purify_noise_std,0.005,0.0,5.0
positive_joint_score,,,0.0
positive_marginal_score,,,0.0
negative_marginal_score,,,0.0
px_cd_loss,,,0.0
joint_cd_loss,,,0.0
gen_loss,,,0.0
mixed_loss,0.4842922164916992,0.015565873440184383,5.0
uq_clean_log_px_mean,2.1301331996917723,0.2273367170680104,5.0
sgld_purify_num_examples,1000.0,0.0,5.0
sgld_clean_acc,0.8799999952316284,0.005700887371744688,5.0
uq_clean_purify_acc/0.2,0.8648571252822876,0.004658765404707328,5.0
uq_clean_purify_acc/0.3,0.8605999946594238,0.004022131852513872,5.0
sgld_clean_purify_acc/1,0.8763999938964844,0.004722276009417596,5.0
sgld_clean_purify_acc/3,0.872599983215332,0.006188683267641238,5.0
sgld_clean_purify_acc/6,0.8685999989509583,0.006107382286964736,5.0
rob/0.1,0.8400285720825196,0.0062183084665835536,5.0
uq_adv_acc/0.1,0.8400285720825196,0.0062183084665835536,5.0
uq_detection/1pct/0.1,0.010342857142857143,0.0004356557337707685,5.0
uq_det_err_detected/1pct/0.1,0.3775741527732374,0.08141739162499802,5.0
uq_det_err_passed/1pct/0.1,0.15771571114984126,0.006038714427825708,5.0
uq_detection/5pct/0.1,0.05157142857142857,0.002768260339296586,5.0
uq_det_err_detected/5pct/0.1,0.30649141398949853,0.03479330126670136,5.0
uq_det_err_passed/5pct/0.1,0.15200935892457562,0.005129384885854177,5.0
uq_detection/10pct/0.1,0.10402857142857143,0.002975066454411274,5.0
uq_det_err_detected/10pct/0.1,0.29664664786578954,0.032041776396865965,5.0
uq_det_err_passed/10pct/0.1,0.14404091343399722,0.005577346437924441,5.0
uq_detection/20pct/0.1,0.21142857142857144,0.0077182529481372025,5.0
uq_det_err_detected/20pct/0.1,0.28414161075408584,0.029853312424573203,5.0
uq_det_err_passed/20pct/0.1,0.12644248437067057,0.007245668606028484,5.0
adaptive_rob/0.1,0.8468000054359436,0.0062512110493848265,5.0
uq_joint_adv_acc/0.1,0.8468000054359436,0.0062512110493848265,5.0
adaptive_detection/1pct/0.1,0.0036000000000000003,0.0010419761445034552,5.0
uq_joint_detection/1pct/0.1,0.0036000000000000003,0.0010419761445034552,5.0
uq_joint_det_err_detected/1pct/0.1,0.46118018419489004,0.12382461818674904,5.0
