max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
32,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/26,,0.999,0.012814509056624956,0.999,0.85,0.71,0.5665,0.1995,0.226,0.2975,0.5165,0.3145,0.3675,0.4805,0.5595,0.2575,0.4215,0.468,0.5125,0.9585,0.74,0.8765,0.6172413793103448,0.605,0.2664359861591695,0.85,0.71,0.5665,26,0.5335055198520422,-0.5223361849784851
32,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/27,,0.998,0.01594090647995472,0.998,0.8885,0.7105,0.5535,0.1975,0.2655,0.3575,0.416,0.32,0.3895,0.44,0.488,0.2885,0.3775,0.424,0.4715,0.9715,0.7623318385650224,0.892,0.6442141623488774,0.616,0.2721164613661814,0.8885,0.7105,0.5535,27,0.5279197776690125,-0.5128152370452881
32,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/28,,0.9985,0.012956627921084873,0.9985,0.853,0.7015,0.547,0.208,0.246,0.3255,0.494,0.3175,0.3995,0.4815,0.582,0.296,0.445,0.474,0.504,0.939,0.6122448979591837,0.855,0.542713567839196,0.5955,0.23620309050772628,0.853,0.7015,0.547,28,0.5265474244952202,-0.5140135288238525
32,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/29,,0.998,0.012780943245161325,0.998,0.8705,0.702,0.5805,0.1815,0.2545,0.386,0.4835,0.2945,0.3785,0.4735,0.5375,0.258,0.391,0.4345,0.473,0.9655,0.7335907335907336,0.8965,0.662751677852349,0.66,0.2967818831942789,0.8705,0.702,0.5805,29,0.5327210705727339,-0.5218830704689026
1,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/3,,0.9995,0.016959837725153193,0.9995,0.8815,0.6905,0.553,0.1565,0.283,0.3305,0.3905,0.279,0.3685,0.4075,0.444,0.2305,0.3215,0.3515,0.3855,0.9845,0.869198312236287,0.95,0.8465266558966075,0.677,0.3568232662192394,0.8815,0.6905,0.553,3,0.5757107827812433,-0.559434711933136
64,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/30,,0.998,0.013217887099017389,0.998,0.8715,0.7155,0.585,0.1815,0.212,0.338,0.499,0.2845,0.376,0.4635,0.5485,0.305,0.412,0.449,0.494,0.9605,0.7198443579766537,0.8895,0.6309314586994728,0.6555,0.26144578313253014,0.8715,0.7155,0.585,30,0.5348984925076365,-0.5236373543739319
64,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/31,,0.998,0.010337933344999328,0.998,0.8505,0.683,0.5335,0.201,0.319,0.425,0.5095,0.295,0.392,0.493,0.5415,0.296,0.413,0.439,0.4745,0.9485,0.6655518394648829,0.8675,0.5914826498422713,0.619,0.3033226152197213,0.8505,0.683,0.5335,31,0.520964621566236,-0.5116573572158813
64,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/32,,0.998,0.01594090647995472,0.998,0.868,0.7415,0.5665,0.207,0.27,0.37,0.426,0.311,0.374,0.442,0.488,0.292,0.3945,0.4355,0.488,0.97,0.7878787878787878,0.896,0.6286266924564797,0.629,0.2906574394463668,0.868,0.7415,0.5665,32,0.5279197776690125,-0.5128152370452881
64,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/33,,0.9985,0.010946230511763133,0.9985,0.861,0.68,0.5495,0.206,0.2995,0.441,0.5645,0.309,0.4555,0.523,0.5755,0.3395,0.439,0.467,0.506,0.949,0.6402877697841727,0.879,0.6359375,0.614,0.2807991120976693,0.861,0.68,0.5495,33,0.5328512564301491,-0.5222244262695312
64,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/34,,0.9995,0.011773256832384504,0.9995,0.873,0.7035,0.573,0.176,0.2465,0.38,0.4735,0.2865,0.3685,0.4425,0.524,0.2615,0.38,0.427,0.4725,0.96,0.6889763779527559,0.886,0.6323777403035413,0.682,0.3325526932084309,0.873,0.7035,0.573,34,0.5319730713963509,-0.5213504433631897
