max_epoch,n_seeds,eval/test/acc/mean,eval/test/acc/std,eval/test/clsloss/mean,eval/test/clsloss/std,eval/uq_clean_accuracy/mean,eval/uq_clean_accuracy/std,eval/uq_adv_acc/0.2/mean,eval/uq_adv_acc/0.2/std,eval/uq_adv_acc/0.4/mean,eval/uq_adv_acc/0.4/std,eval/uq_adv_acc/1.0/mean,eval/uq_adv_acc/1.0/std,eval/uq_detection/1pct/0.2/mean,eval/uq_detection/1pct/0.2/std,eval/uq_detection/5pct/0.2/mean,eval/uq_detection/5pct/0.2/std,eval/uq_detection/10pct/0.2/mean,eval/uq_detection/10pct/0.2/std,eval/uq_detection/20pct/0.2/mean,eval/uq_detection/20pct/0.2/std,eval/uq_detection/1pct/0.4/mean,eval/uq_detection/1pct/0.4/std,eval/uq_detection/5pct/0.4/mean,eval/uq_detection/5pct/0.4/std,eval/uq_detection/10pct/0.4/mean,eval/uq_detection/10pct/0.4/std,eval/uq_detection/20pct/0.4/mean,eval/uq_detection/20pct/0.4/std,eval/uq_detection/1pct/1.0/mean,eval/uq_detection/1pct/1.0/std,eval/uq_detection/5pct/1.0/mean,eval/uq_detection/5pct/1.0/std,eval/uq_detection/10pct/1.0/mean,eval/uq_detection/10pct/1.0/std,eval/uq_detection/20pct/1.0/mean,eval/uq_detection/20pct/1.0/std,eval/uq_purify_acc/0.2/0.2/mean,eval/uq_purify_acc/0.2/0.2/std,eval/uq_purify_recovery/0.2/0.2/mean,eval/uq_purify_recovery/0.2/0.2/std,eval/uq_purify_acc/0.4/0.2/mean,eval/uq_purify_acc/0.4/0.2/std,eval/uq_purify_recovery/0.4/0.2/mean,eval/uq_purify_recovery/0.4/0.2/std,eval/uq_purify_acc/1.0/0.2/mean,eval/uq_purify_acc/1.0/0.2/std,eval/uq_purify_recovery/1.0/0.2/mean,eval/uq_purify_recovery/1.0/0.2/std,eval/test/rob/0.2/mean,eval/test/rob/0.2/std,eval/test/rob/0.4/mean,eval/test/rob/0.4/std,eval/test/rob/1.0/mean,eval/test/rob/1.0/std,eval/test/genloss/mean,eval/test/genloss/std,eval/uq_clean_log_px_mean/mean,eval/uq_clean_log_px_mean/std,diff/test/acc/mean,diff/test/acc/std,diff/test/clsloss/mean,diff/test/clsloss/std,diff/uq_clean_accuracy/mean,diff/uq_clean_accuracy/std,diff/uq_adv_acc/0.2/mean,diff/uq_adv_acc/0.2/std,diff/uq_adv_acc/0.4/mean,diff/uq_adv_acc/0.4/std,diff/uq_adv_acc/1.0/mean,diff/uq_adv_acc/1.0/std,diff/uq_detection/1pct/0.2/mean,diff/uq_detection/1pct/0.2/std,diff/uq_detection/5pct/0.2/mean,diff/uq_detection/5pct/0.2/std,diff/uq_detection/10pct/0.2/mean,diff/uq_detection/10pct/0.2/std,diff/uq_detection/20pct/0.2/mean,diff/uq_detection/20pct/0.2/std,diff/uq_detection/1pct/0.4/mean,diff/uq_detection/1pct/0.4/std,diff/uq_detection/5pct/0.4/mean,diff/uq_detection/5pct/0.4/std,diff/uq_detection/10pct/0.4/mean,diff/uq_detection/10pct/0.4/std,diff/uq_detection/20pct/0.4/mean,diff/uq_detection/20pct/0.4/std,diff/uq_detection/1pct/1.0/mean,diff/uq_detection/1pct/1.0/std,diff/uq_detection/5pct/1.0/mean,diff/uq_detection/5pct/1.0/std,diff/uq_detection/10pct/1.0/mean,diff/uq_detection/10pct/1.0/std,diff/uq_detection/20pct/1.0/mean,diff/uq_detection/20pct/1.0/std,diff/uq_purify_acc/0.2/0.2/mean,diff/uq_purify_acc/0.2/0.2/std,diff/uq_purify_recovery/0.2/0.2/mean,diff/uq_purify_recovery/0.2/0.2/std,diff/uq_purify_acc/0.4/0.2/mean,diff/uq_purify_acc/0.4/0.2/std,diff/uq_purify_recovery/0.4/0.2/mean,diff/uq_purify_recovery/0.4/0.2/std,diff/uq_purify_acc/1.0/0.2/mean,diff/uq_purify_acc/1.0/0.2/std,diff/uq_purify_recovery/1.0/0.2/mean,diff/uq_purify_recovery/1.0/0.2/std,diff/test/rob/0.2/mean,diff/test/rob/0.2/std,diff/test/rob/0.4/mean,diff/test/rob/0.4/std,diff/test/rob/1.0/mean,diff/test/rob/1.0/std,diff/test/genloss/mean,diff/test/genloss/std,diff/uq_clean_log_px_mean/mean,diff/uq_clean_log_px_mean/std
0,5,1.0,0.0,4.976554464519722e-06,0.0,1.0,0.0,0.9890000000000001,1.2412670766236366e-16,0.615,0.0,0.286,0.0,0.12,0.0,0.211,0.0,0.2685,0.0,0.43099999999999994,6.206335383118183e-17,0.248,0.0,0.343,0.0,0.425,0.0,0.557,0.0,0.081,0.0,0.11749999999999998,1.5515838457795457e-17,0.158,0.0,0.28,0.0,0.992,0.0,0.5,0.0,0.642,0.0,0.07012987012987013,0.0,0.3955,0.0,0.15336134453781514,0.0,0.9890000000000001,1.2412670766236366e-16,0.615,0.0,0.286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,0.9983000000000001,0.0009082951062292421,0.01702992581995204,0.0018207997755223572,0.9983000000000001,0.0009082951062292421,0.8654999999999999,0.013421065531469536,0.6862999999999999,0.016103571032538077,0.5522,0.02089736825535692,0.18849999999999997,0.03247883926497375,0.2666,0.024156779586691587,0.328,0.03200390601161051,0.3998,0.04020043532102606,0.30809999999999993,0.029221995140647068,0.36829999999999996,0.017841664720535486,0.4138,0.019392653248073093,0.4598,0.029659737018389087,0.2435,0.023013582945730124,0.32320000000000004,0.01744849563716026,0.36,0.014195069566578384,0.4101,0.021924301585227287,0.9841000000000001,0.009201901977308804,0.8857742015568487,0.07958044481968306,0.9315999999999999,0.013853699866822559,0.8236071559004678,0.036965231605133125,0.6765,0.021435951110225993,0.4011432335216239,0.02967822153960923,0.8654999999999999,0.013421065531469536,0.6862999999999999,0.016103571032538077,0.5522,0.02089736825535692,0.5815697999671101,0.014853977995184064,-0.5675158023834228,0.014372453843332047,-0.0016999999999999682,0.0009082951062292421,0.017024949265487522,0.0018207997755223572,-0.0016999999999999682,0.0009082951062292421,-0.12349999999999998,0.013421065531469536,0.0713,0.016103571032538077,0.26620000000000005,0.02089736825535692,0.0685,0.03247883926497374,0.055600000000000004,0.024156779586691587,0.0595,0.03200390601161051,-0.031199999999999995,0.04020043532102606,0.06010000000000001,0.029221995140647068,0.02529999999999997,0.017841664720535486,-0.011199999999999998,0.019392653248073093,-0.09720000000000006,0.029659737018389087,0.1625,0.02301358294573011,0.20570000000000005,0.01744849563716026,0.202,0.014195069566578384,0.13009999999999997,0.021924301585227287,-0.007899999999999973,0.009201901977308804,0.3857742015568488,0.07958044481968306,0.28959999999999997,0.01385369986682256,0.7534772857705976,0.036965231605133125,0.281,0.021435951110225993,0.24778188898380873,0.02967822153960923,-0.12349999999999998,0.013421065531469536,0.0713,0.016103571032538077,0.26620000000000005,0.02089736825535692,,,,
2,5,0.9989000000000001,0.0008944271909999167,0.01716666939901188,0.0019731066387305963,0.9989000000000001,0.0008944271909999167,0.8596999999999999,0.011877499736897487,0.6871,0.009996249296611182,0.5467000000000001,0.011138895816013364,0.1896,0.014779208368515543,0.2802,0.05596941128866731,0.35009999999999997,0.05884556058021709,0.41459999999999997,0.021952790255454994,0.3146,0.021063594185228712,0.38139999999999996,0.032562248079639707,0.4279,0.035866767348061906,0.47850000000000004,0.02296736815571168,0.2517,0.02246552915023371,0.32380000000000003,0.015172343260024156,0.3618,0.02558466337476419,0.4178,0.023091123835794567,0.9833999999999999,0.005583457710057432,0.8859968123090273,0.035584528604726974,0.9225,0.016583123951776982,0.7838818702848218,0.032993792408060406,0.6811999999999999,0.02072920644887306,0.4144894601402436,0.02859259103576793,0.8596999999999999,0.011877499736897487,0.6871,0.009996249296611182,0.5467000000000001,0.011138895816013364,0.5727378120645881,0.017524952015033554,-0.5571188807487488,0.015042306227692245,-0.0010999999999999454,0.0008944271909999167,0.017161692844547362,0.0019731066387305963,-0.0010999999999999454,0.0008944271909999167,-0.1293,0.011877499736897485,0.07210000000000001,0.00999624929661118,0.26070000000000004,0.011138895816013364,0.06960000000000001,0.014779208368515543,0.0692,0.05596941128866731,0.08159999999999998,0.05884556058021709,-0.016400000000000005,0.021952790255454994,0.0666,0.021063594185228712,0.038399999999999955,0.032562248079639707,0.0029000000000000024,0.035866767348061906,-0.07850000000000006,0.02296736815571168,0.17070000000000002,0.022465529150233695,0.20630000000000007,0.015172343260024156,0.20379999999999998,0.02558466337476419,0.13779999999999998,0.023091123835794567,-0.008599999999999986,0.005583457710057432,0.38599681230902727,0.035584528604726974,0.2805,0.016583123951776982,0.7137520001549518,0.032993792408060406,0.28569999999999995,0.020729206448873057,0.26112811560242843,0.02859259103576793,-0.1293,0.011877499736897485,0.07210000000000001,0.00999624929661118,0.26070000000000004,0.011138895816013364,,,,
4,5,0.9991000000000001,0.0008944271909999073,0.01345033795805648,0.001747676594517405,0.9991000000000001,0.0008944271909999073,0.8703,0.02320452542070189,0.7081,0.021512786895239746,0.5631,0.015570003211303434,0.19140000000000001,0.01209545369136685,0.2487,0.02652970033754621,0.3285,0.04622499323958848,0.4096,0.037120412174435784,0.30489999999999995,0.010070997964452192,0.36319999999999997,0.02972709202057948,0.4184,0.03441184389131159,0.48439999999999994,0.030731498499096985,0.2755,0.01379764472654662,0.3708,0.014682472543819056,0.4074,0.011786644984897086,0.461,0.012762249018100205,0.9783000000000002,0.004631414470763767,0.8491972375772768,0.02884686013028595,0.9196000000000002,0.004407380174207816,0.7581939639828946,0.015784029093775645,0.6578000000000002,0.02724105357727561,0.3464609245437438,0.06284617385271833,0.8703,0.02320452542070189,0.7081,0.021512786895239746,0.5631,0.015570003211303434,0.5462609183043241,0.010873569633932,-0.5341429710388184,0.009569753600069576,-0.0008999999999999897,0.0008944271909999073,0.01344536140359196,0.001747676594517405,-0.0008999999999999897,0.0008944271909999073,-0.1187,0.023204525420701887,0.0931,0.021512786895239746,0.2771,0.015570003211303432,0.07139999999999999,0.01209545369136685,0.037700000000000004,0.02652970033754621,0.06,0.04622499323958848,-0.021399999999999985,0.037120412174435784,0.05689999999999999,0.010070997964452192,0.02019999999999995,0.029727092020579476,-0.0065999999999999835,0.03441184389131159,-0.07260000000000004,0.030731498499096985,0.19449999999999998,0.013797644726546618,0.25329999999999997,0.014682472543819054,0.2494,0.01178664498489708,0.18099999999999997,0.012762249018100205,-0.0137,0.004631414470763766,0.34919723757727683,0.02884686013028595,0.27759999999999996,0.004407380174207816,0.6880640938530246,0.01578402909377564,0.26230000000000003,0.02724105357727561,0.19309958000592858,0.06284617385271833,-0.1187,0.023204525420701887,0.0931,0.021512786895239746,0.2771,0.015570003211303432,,,,
8,5,0.999,0.0009354143466934713,0.01362626981572248,0.002693305961865868,0.999,0.0009354143466934713,0.8737999999999999,0.013079564212923899,0.7131000000000001,0.024192974186734485,0.5689,0.024970983160460442,0.1913,0.007207634840916963,0.2306,0.016459799512752275,0.3196,0.022864820139244478,0.4241,0.040141001482274945,0.3176,0.018108699566782828,0.38530000000000003,0.022269934889891367,0.4537,0.015947570347861754,0.5186,0.017537103523672316,0.2774,0.022777181564012698,0.3874,0.01747998855834865,0.4324,0.014350087107749567,0.48869999999999997,0.021730163368000713,0.9721,0.011986450684001516,0.7957408280179925,0.06347161025646539,0.8958999999999999,0.024187806845598913,0.6618426163281386,0.06350873447358213,0.6358,0.04046696183308061,0.29748362437399734,0.03320191837394227,0.8737999999999999,0.013079564212923899,0.7131000000000001,0.024192974186734485,0.5689,0.024970983160460442,0.5463585490360856,0.022896766286877434,-0.533926272392273,0.021973003763746515,-0.0009999999999999788,0.0009354143466934713,0.013621293261257961,0.002693305961865868,-0.0009999999999999788,0.0009354143466934713,-0.1152,0.013079564212923899,0.09810000000000003,0.024192974186734485,0.2829,0.024970983160460442,0.0713,0.007207634840916963,0.019600000000000006,0.016459799512752275,0.05109999999999998,0.022864820139244478,-0.006899999999999995,0.040141001482274945,0.06960000000000001,0.018108699566782828,0.04229999999999998,0.022269934889891367,0.028700000000000003,0.015947570347861754,-0.038400000000000066,0.017537103523672312,0.1964,0.022777181564012695,0.26990000000000003,0.01747998855834865,0.27440000000000003,0.014350087107749569,0.20869999999999997,0.021730163368000717,-0.019899999999999984,0.011986450684001518,0.29574082801799256,0.06347161025646539,0.25389999999999996,0.02418780684559891,0.5917127461982685,0.06350873447358213,0.2403,0.04046696183308061,0.14412227983618217,0.03320191837394227,-0.1152,0.013079564212923899,0.09810000000000003,0.024192974186734485,0.2829,0.024970983160460442,,,,
16,5,0.9991,0.0008215838362577533,0.01265302199171856,0.0027111385367595974,0.9991,0.0008215838362577533,0.8622,0.011819475453673917,0.7092,0.01058064270259611,0.5589999999999999,0.020490851617246144,0.2098,0.027628336902535414,0.2666,0.04827965409983795,0.3604,0.033671946780665964,0.4795,0.02079663434308542,0.32349999999999995,0.018483100389274525,0.40329999999999994,0.03355704098993236,0.4744999999999999,0.028084693339967236,0.5509999999999999,0.022942863814266932,0.296,0.021479641524010582,0.41039999999999993,0.03003622812538219,0.45199999999999996,0.029446986263453174,0.5025000000000001,0.030777426793024795,0.9625999999999999,0.008073103492461865,0.7430250589305707,0.04840538288750273,0.8901,0.009269573884488992,0.6488560156855115,0.03137521800293809,0.6265999999999999,0.02843281554823582,0.2820028894344959,0.05103879106132879,0.8622,0.011819475453673917,0.7092,0.01058064270259611,0.5589999999999999,0.020490851617246144,0.5409907774999738,0.019362713425829785,-0.529484498500824,0.017237218794413423,-0.0008999999999999674,0.0008215838362577532,0.01264804543725404,0.0027111385367595974,-0.0008999999999999674,0.0008215838362577532,-0.1268,0.011819475453673917,0.09420000000000002,0.01058064270259611,0.273,0.020490851617246144,0.0898,0.027628336902535414,0.055600000000000004,0.048279654099837956,0.09189999999999998,0.033671946780665964,0.0485,0.020796634343085416,0.0755,0.018483100389274525,0.060299999999999965,0.033557040989932355,0.04950000000000001,0.028084693339967236,-0.0060000000000000496,0.022942863814266932,0.215,0.021479641524010582,0.29290000000000005,0.03003622812538219,0.29399999999999993,0.029446986263453157,0.22249999999999998,0.0307774267930248,-0.029400000000000003,0.008073103492461865,0.24302505893057075,0.04840538288750273,0.2481,0.009269573884488992,0.5787261455556415,0.03137521800293809,0.23109999999999994,0.02843281554823582,0.12864154489668075,0.05103879106132879,-0.1268,0.011819475453673917,0.09420000000000002,0.01058064270259611,0.273,0.020490851617246144,,,,
32,5,0.9983000000000001,0.0004472135954999645,0.013542174760368652,0.0013519349325131996,0.9983000000000001,0.0004472135954999645,0.8654,0.015416711711645903,0.7112,0.012382447254077038,0.5626000000000001,0.012944110629935139,0.195,0.010246950765959599,0.2446,0.016337839514452335,0.34270000000000006,0.03335903176052926,0.48439999999999994,0.040508332476170875,0.303,0.021760055146988942,0.3782,0.017239489551607975,0.46440000000000003,0.019686289645334375,0.5404,0.034923845721798734,0.2791,0.01971484212465318,0.4096,0.026375651650717556,0.44989999999999997,0.021314314438892944,0.49160000000000004,0.01850472912528038,0.9585000000000001,0.012232129822725101,0.7125964569859509,0.058610320147684816,0.8818999999999999,0.01677572651183847,0.6180110231417952,0.04578448992630986,0.6231,0.02624023627942402,0.26770219080473473,0.021560622847443707,0.8654,0.015416711711645903,0.7112,0.012382447254077038,0.5626000000000001,0.012944110629935139,0.531118457019329,0.0036633657810933836,-0.5189370751380921,0.0051000899755310365,-0.0016999999999999904,0.00044721359549996457,0.013537198205904133,0.0013519349325131996,-0.0016999999999999904,0.00044721359549996457,-0.1236,0.015416711711645903,0.0962,0.012382447254077038,0.27660000000000007,0.012944110629935139,0.075,0.010246950765959599,0.03360000000000001,0.01633783951445233,0.07419999999999997,0.03335903176052926,0.05339999999999999,0.040508332476170875,0.05500000000000001,0.02176005514698894,0.035199999999999974,0.017239489551607975,0.039400000000000004,0.01968628964533438,-0.01660000000000006,0.034923845721798734,0.1981,0.01971484212465318,0.29209999999999997,0.026375651650717556,0.2919,0.021314314438892937,0.21159999999999995,0.01850472912528038,-0.033499999999999995,0.012232129822725101,0.21259645698595087,0.058610320147684816,0.23989999999999995,0.01677572651183847,0.5478811530119251,0.04578448992630986,0.22759999999999997,0.02624023627942402,0.11434084626691961,0.021560622847443707,-0.1236,0.015416711711645903,0.0962,0.012382447254077038,0.27660000000000007,0.012944110629935139,,,,
64,5,0.9984,0.000651920240520291,0.012443242853623814,0.0022336058234010093,0.9984,0.000651920240520291,0.8648,0.009237153241123584,0.7047000000000001,0.025265094498141103,0.5615,0.0202330175702983,0.1943,0.014506894912420095,0.2694,0.04238425415174838,0.39080000000000004,0.04191300514160252,0.49449999999999994,0.05069146871022776,0.29719999999999996,0.012352125323198444,0.3932,0.035907171985551864,0.4728,0.03493315044481388,0.5355,0.032378619488792296,0.2988,0.02801918985267062,0.4077,0.022179945897138696,0.44350000000000006,0.015321553446044576,0.487,0.013941843493598697,0.9576,0.00900971697668689,0.7005078266114506,0.056984508657739005,0.8836,0.010893805579318901,0.623871208260353,0.01829915958693362,0.6399,0.028470159816903047,0.2937555286209437,0.026543057779772426,0.8648,0.009237153241123584,0.7047000000000001,0.025265094498141103,0.5615,0.0202330175702983,0.529721443913877,0.005513513483592407,-0.5183369636535644,0.005643451387189945,-0.0015999999999999793,0.000651920240520291,0.012438266299159294,0.0022336058234010093,-0.0015999999999999793,0.000651920240520291,-0.12419999999999998,0.009237153241123584,0.08970000000000004,0.025265094498141103,0.27549999999999997,0.0202330175702983,0.0743,0.014506894912420095,0.05840000000000001,0.04238425415174839,0.12229999999999999,0.041913005141602525,0.06349999999999999,0.050691468710227755,0.04919999999999999,0.012352125323198444,0.05019999999999998,0.035907171985551864,0.04780000000000002,0.03493315044481388,-0.021500000000000054,0.032378619488792296,0.2178,0.02801918985267062,0.29019999999999996,0.022179945897138696,0.28550000000000003,0.015321553446044583,0.20699999999999993,0.013941843493598697,-0.03440000000000001,0.00900971697668689,0.2005078266114506,0.056984508657739005,0.24159999999999998,0.010893805579318901,0.5537413381304829,0.01829915958693362,0.24439999999999995,0.028470159816903047,0.14039418408312856,0.026543057779772426,-0.12419999999999998,0.009237153241123584,0.08970000000000004,0.025265094498141103,0.27549999999999997,0.0202330175702983,,,,
128,5,0.9986,0.0006519202405202825,0.01129828170815017,0.0012377207751909005,0.9986,0.0006519202405202825,0.8583999999999999,0.007494998332221325,0.7019,0.00997120855262794,0.5616,0.02828736467046727,0.1971,0.012048858867129282,0.2842,0.04971619454463506,0.4037,0.03447571609118512,0.5144,0.03892524887524804,0.29599999999999993,0.011129914644776024,0.4029000000000001,0.030156674219814092,0.485,0.0335242449579405,0.5517000000000001,0.024376217918290748,0.29569999999999996,0.02720202198366879,0.41340000000000005,0.01621881623300541,0.4464,0.014077464260299166,0.4904,0.010608958478568943,0.9506,0.007979661646962233,0.6662575919933449,0.04062957878007108,0.8734999999999999,0.012015614840697882,0.5917824316725959,0.033154814632885395,0.6458999999999999,0.029136317543574368,0.29373748915424747,0.02655952085611175,0.8583999999999999,0.007494998332221325,0.7019,0.00997120855262794,0.5616,0.02828736467046727,0.5281401496380568,0.007072743468225162,-0.5180191159248352,0.006061464353242463,-0.001399999999999979,0.0006519202405202825,0.011293305153685651,0.0012377207751909005,-0.001399999999999979,0.0006519202405202825,-0.1306,0.007494998332221325,0.0869,0.00997120855262794,0.2756,0.02828736467046727,0.0771,0.012048858867129282,0.0732,0.04971619454463505,0.1352,0.03447571609118512,0.0834,0.03892524887524804,0.048,0.011129914644776024,0.059899999999999974,0.030156674219814092,0.06000000000000001,0.0335242449579405,-0.005300000000000082,0.024376217918290748,0.21469999999999997,0.02720202198366879,0.29589999999999994,0.01621881623300541,0.2884,0.014077464260299188,0.21039999999999998,0.010608958478568943,-0.04140000000000001,0.007979661646962233,0.16625759199334483,0.04062957878007108,0.23149999999999996,0.01201561484069788,0.5216525615427259,0.033154814632885395,0.2504,0.029136317543574368,0.14037614461643236,0.026559520856111747,-0.1306,0.007494998332221325,0.0869,0.00997120855262794,0.2756,0.02828736467046727,,,,
