<<<<<<< Updated upstream
run_name,run_path,gibbs_n_samples,gibbs_n_eval_seed,gibbs_step_radius,gibbs_num_bins,gibbs_clean_acc,gibbs_clean_log_px_mean,gibbs_clean_purify_acc/1,gibbs_clean_log_px_mean/1,gibbs_clean_purify_acc/3,gibbs_clean_log_px_mean/3,gibbs_clean_purify_acc/6,gibbs_clean_log_px_mean/6,gibbs_adv_acc/0.05,gibbs_adv_log_px_mean/0.05,gibbs_purify_acc/0.05/1,gibbs_purify_recovery/0.05/1,gibbs_purify_log_px_mean/0.05/1,gibbs_purify_acc/0.05/3,gibbs_purify_recovery/0.05/3,gibbs_purify_log_px_mean/0.05/3,gibbs_purify_acc/0.05/6,gibbs_purify_recovery/0.05/6,gibbs_purify_log_px_mean/0.05/6,gibbs_adv_acc/0.1,gibbs_adv_log_px_mean/0.1,gibbs_purify_acc/0.1/1,gibbs_purify_recovery/0.1/1,gibbs_purify_log_px_mean/0.1/1,gibbs_purify_acc/0.1/3,gibbs_purify_recovery/0.1/3,gibbs_purify_log_px_mean/0.1/3,gibbs_purify_acc/0.1/6,gibbs_purify_recovery/0.1/6,gibbs_purify_log_px_mean/0.1/6,gibbs_adv_acc/0.15,gibbs_adv_log_px_mean/0.15,gibbs_purify_acc/0.15/1,gibbs_purify_recovery/0.15/1,gibbs_purify_log_px_mean/0.15/1,gibbs_purify_acc/0.15/3,gibbs_purify_recovery/0.15/3,gibbs_purify_log_px_mean/0.15/3,gibbs_purify_acc/0.15/6,gibbs_purify_recovery/0.15/6,gibbs_purify_log_px_mean/0.15/6,gibbs_runtime_s,range_size,eps_unit
0,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/0,250,0,0.05,20,0.9399999976158142,15.85959243774414,0.9480000138282776,7.362960338592529,0.944000005722046,0.8931764960289001,0.9480000138282776,-4.051746368408203,0.9160000085830688,14.926262855529783,0.9200000166893004,0.0476190476190476,6.966196060180664,0.9079999923706056,0.0476190476190476,-0.2383669316768646,0.9079999923706056,0.0476190476190476,-4.86461353302002,0.8640000224113464,14.43356990814209,0.8600000143051147,0.0294117647058823,0.5442647933959961,0.8640000224113464,0.1176470588235294,-5.233280181884766,0.8679999709129333,0.1470588235294117,-8.579645156860352,0.800000011920929,13.579183578491213,0.800000011920929,0.04,-5.970897674560547,0.800000011920929,0.06,-11.366739273071287,0.800000011920929,0.1,-13.75019073486328,1008.0449442863464,2.0,rel
1,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/1,250,0,0.05,20,0.9480000138282776,15.57383918762207,0.9480000138282776,7.2194318771362305,0.9480000138282776,1.0409541130065918,0.9480000138282776,-3.915755271911621,0.9079999923706056,14.864717483520508,0.9160000085830688,0.0869565217391304,6.849920749664307,0.9079999923706056,0.0869565217391304,-0.3951617479324341,0.8999999761581421,0.1304347826086956,-4.911727428436279,0.8519999980926514,13.992353439331056,0.8479999899864197,0.0,0.3637232184410095,0.8360000252723694,0.027027027027027,-5.425470352172852,0.8399999737739563,0.027027027027027,-8.468888282775879,0.7799999713897705,14.038702011108398,0.7760000228881836,0.0363636363636363,-5.707554817199707,0.800000011920929,0.1272727272727272,-11.22385025024414,0.7919999957084656,0.109090909090909,-13.801823616027832,1019.198126077652,2.0,rel
2,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/2,250,0,0.05,20,0.944000005722046,11.328150749206545,0.944000005722046,3.194007873535156,0.944000005722046,-3.056154251098633,0.9480000138282776,-7.749111175537109,0.9039999842643738,11.72593116760254,0.8920000195503235,0.0,3.439481019973755,0.8999999761581421,0.125,-4.022950172424316,0.9039999842643738,0.125,-8.559825897216797,0.8519999980926514,12.362117767333984,0.843999981880188,0.0,-2.5092334747314453,0.8479999899864197,0.027027027027027,-8.469291687011719,0.8640000224113464,0.1081081081081081,-11.683497428894045,0.7760000228881836,12.42269229888916,0.7919999957084656,0.0714285714285714,-8.425521850585938,0.7960000038146973,0.125,-13.988930702209473,0.7839999794960022,0.0892857142857142,-16.64841651916504,1020.9407913684844,2.0,rel
3,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/3,250,0,0.05,20,0.944000005722046,13.438759803771973,0.9359999895095824,5.237098217010498,0.9359999895095824,-0.9843931794166564,0.9359999895095824,-5.733437061309815,0.9039999842643738,12.66152286529541,0.8999999761581421,0.0,4.872912406921387,0.8880000114440918,0.0,-2.1963775157928467,0.8960000276565552,0.0,-6.855712890625,0.8519999980926514,12.085737228393556,0.8600000143051147,0.054054054054054,-1.42271089553833,0.8519999980926514,0.054054054054054,-7.009239673614502,0.8560000061988831,0.054054054054054,-10.416839599609377,0.7799999713897705,12.162822723388672,0.7879999876022339,0.0727272727272727,-7.545872688293457,0.7839999794960022,0.0727272727272727,-12.867399215698242,0.7839999794960022,0.109090909090909,-15.316603660583496,1024.595338344574,2.0,rel
4,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/4,250,0,0.05,20,0.944000005722046,13.635701179504396,0.944000005722046,5.290290832519531,0.944000005722046,-1.1613056659698486,0.9319999814033508,-5.971959114074707,0.8999999761581421,12.279312133789062,0.9039999842643738,0.08,4.696503162384033,0.8920000195503235,0.0,-2.3400766849517822,0.8880000114440918,0.04,-6.976352691650391,0.843999981880188,11.345054626464844,0.8399999737739563,0.0512820512820512,-1.835591554641724,0.8519999980926514,0.1025641025641025,-7.394824028015137,0.8360000252723694,0.1025641025641025,-10.548694610595703,0.7879999876022339,10.953123092651367,0.7919999957084656,0.0188679245283018,-8.203802108764648,0.7799999713897705,0.0188679245283018,-13.540322303771973,0.7839999794960022,0.0377358490566037,-15.94149112701416,1010.7889206409454,2.0,rel
=======
run_name,run_path,gibbs_n_samples,gibbs_n_eval_seed,gibbs_step_radius,gibbs_num_bins,gibbs_clean_acc,gibbs_clean_log_px_mean,gibbs_clean_purify_acc/1,gibbs_clean_log_px_mean/1,gibbs_clean_purify_acc/3,gibbs_clean_log_px_mean/3,gibbs_clean_purify_acc/6,gibbs_clean_log_px_mean/6,gibbs_clean_purify_acc/10,gibbs_clean_log_px_mean/10,gibbs_adv_acc/0.1,gibbs_adv_log_px_mean/0.1,gibbs_purify_acc/0.1/1,gibbs_purify_recovery/0.1/1,gibbs_purify_log_px_mean/0.1/1,gibbs_purify_acc/0.1/3,gibbs_purify_recovery/0.1/3,gibbs_purify_log_px_mean/0.1/3,gibbs_purify_acc/0.1/6,gibbs_purify_recovery/0.1/6,gibbs_purify_log_px_mean/0.1/6,gibbs_purify_acc/0.1/10,gibbs_purify_recovery/0.1/10,gibbs_purify_log_px_mean/0.1/10,gibbs_adv_acc/0.2,gibbs_adv_log_px_mean/0.2,gibbs_purify_acc/0.2/1,gibbs_purify_recovery/0.2/1,gibbs_purify_log_px_mean/0.2/1,gibbs_purify_acc/0.2/3,gibbs_purify_recovery/0.2/3,gibbs_purify_log_px_mean/0.2/3,gibbs_purify_acc/0.2/6,gibbs_purify_recovery/0.2/6,gibbs_purify_log_px_mean/0.2/6,gibbs_purify_acc/0.2/10,gibbs_purify_recovery/0.2/10,gibbs_purify_log_px_mean/0.2/10,gibbs_adv_acc/0.3,gibbs_adv_log_px_mean/0.3,gibbs_purify_acc/0.3/1,gibbs_purify_recovery/0.3/1,gibbs_purify_log_px_mean/0.3/1,gibbs_purify_acc/0.3/3,gibbs_purify_recovery/0.3/3,gibbs_purify_log_px_mean/0.3/3,gibbs_purify_acc/0.3/6,gibbs_purify_recovery/0.3/6,gibbs_purify_log_px_mean/0.3/6,gibbs_purify_acc/0.3/10,gibbs_purify_recovery/0.3/10,gibbs_purify_log_px_mean/0.3/10,gibbs_runtime_s
0,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/0,250,0,0.05,96,0.9399999976158142,15.85959243774414,0.9399999976158142,7.390718936920166,0.9440000057220459,0.9873610138893127,0.9399999976158142,-3.6659677028656006,0.9480000138282776,-7.644834995269775,0.9120000004768372,14.874944686889648,0.9120000004768372,0.045454545454545456,6.906785488128662,0.9079999923706055,0.045454545454545456,-0.287019819021225,0.8999999761581421,0.0,-4.740018844604492,0.8920000195503235,0.0,-8.41480541229248,0.8679999709129333,14.36717414855957,0.8679999709129333,0.06060606060606061,0.42605435848236084,0.8679999709129333,0.030303030303030304,-5.407167434692383,0.8560000061988831,0.030303030303030304,-8.725255966186523,0.8519999980926514,0.09090909090909091,-11.592957496643066,0.7919999957084656,14.31246280670166,0.8119999766349792,0.11538461538461539,-5.854150295257568,0.7960000038146973,0.07692307692307693,-11.55968952178955,0.7919999957084656,0.07692307692307693,-14.099040985107422,0.8159999847412109,0.19230769230769232,-16.122804641723633,5533.547908782959
1,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/1,250,0,0.05,96,0.9480000138282776,15.57383918762207,0.9399999976158142,7.116608142852783,0.9359999895095825,0.6749494075775146,0.9359999895095825,-4.213240146636963,0.9319999814033508,-8.203275680541992,0.9079999923706055,14.538817405700684,0.9079999923706055,0.043478260869565216,6.622925758361816,0.8960000276565552,0.0,-0.5222164392471313,0.8999999761581421,0.043478260869565216,-5.290057182312012,0.8880000114440918,0.0,-8.704052925109863,0.8479999899864197,14.243082046508789,0.8640000224113464,0.10526315789473684,0.4371945261955261,0.8679999709129333,0.15789473684210525,-5.1831254959106445,0.8560000061988831,0.18421052631578946,-8.478790283203125,0.8519999980926514,0.15789473684210525,-11.3430757522583,0.7839999794960022,14.237778663635254,0.7919999957084656,0.07407407407407407,-5.5651021003723145,0.800000011920929,0.1111111111111111,-11.022043228149414,0.7879999876022339,0.1111111111111111,-13.553454399108887,0.8040000200271606,0.16666666666666666,-15.393535614013672,6012.7139229774475
2,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/2,250,0,0.05,96,0.9440000057220459,11.328150749206543,0.9559999704360962,3.0623066425323486,0.9399999976158142,-3.0755927562713623,0.9399999976158142,-7.853285789489746,0.9399999976158142,-11.979116439819336,0.9039999842643738,11.546030044555664,0.8999999761581421,0.041666666666666664,3.239398956298828,0.8999999761581421,0.0,-3.911701202392578,0.8920000195503235,0.0,-8.611201286315918,0.8840000033378601,0.0,-12.220337867736816,0.8519999980926514,12.037779808044434,0.8519999980926514,0.05405405405405406,-2.6416165828704834,0.8600000143051147,0.08108108108108109,-8.687230110168457,0.8600000143051147,0.08108108108108109,-12.078550338745117,0.8519999980926514,0.10810810810810811,-15.002235412597656,0.7720000147819519,12.338738441467285,0.7799999713897705,0.03508771929824561,-8.555254936218262,0.7760000228881836,0.05263157894736842,-14.221217155456543,0.7799999713897705,0.07017543859649122,-16.879108428955078,0.7839999794960022,0.10526315789473684,-18.844282150268555,5676.037661314011
3,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/3,250,0,0.05,96,0.9440000057220459,13.438759803771973,0.9480000138282776,5.111846446990967,0.9480000138282776,-1.2089582681655884,0.9359999895095825,-6.03053617477417,0.9359999895095825,-9.88974666595459,0.9039999842643738,12.579668045043945,0.8960000276565552,0.041666666666666664,4.729760646820068,0.8960000276565552,0.08333333333333333,-2.3487586975097656,0.8960000276565552,0.08333333333333333,-6.922206878662109,0.8999999761581421,0.16666666666666666,-10.519885063171387,0.8519999980926514,12.284218788146973,0.8519999980926514,0.02702702702702703,-1.5223677158355713,0.843999981880188,0.02702702702702703,-7.252881050109863,0.8479999899864197,0.08108108108108109,-10.36823558807373,0.8479999899864197,0.13513513513513514,-13.465630531311035,0.7839999794960022,11.899606704711914,0.8040000200271606,0.1111111111111111,-7.775999069213867,0.800000011920929,0.09259259259259259,-13.320541381835938,0.8119999766349792,0.14814814814814814,-15.858094215393066,0.7960000038146973,0.07407407407407407,-17.683937072753906,5511.491836547852
4,/mathqi/mnissen/bm4tc/outputs/mnist_full_r12/at/legendre/d3r20c64/seed_sweep/a0_2507/4,250,0,0.05,96,0.9440000057220459,13.635701179504395,0.9440000057220459,5.24815559387207,0.9359999895095825,-0.9676744341850281,0.9359999895095825,-5.7748703956604,0.9279999732971191,-9.76441764831543,0.8999999761581421,12.129387855529785,0.8920000195503235,0.0,4.5563645362854,0.8759999871253967,0.0,-2.39119291305542,0.871999979019165,0.04,-6.859931468963623,0.8759999871253967,0.0,-10.578728675842285,0.843999981880188,11.569656372070312,0.8479999899864197,0.05128205128205128,-1.8188444375991821,0.8479999899864197,0.05128205128205128,-7.322722911834717,0.843999981880188,0.05128205128205128,-10.466719627380371,0.8360000252723694,0.05128205128205128,-13.123414993286133,0.7839999794960022,11.204632759094238,0.7919999957084656,0.07407407407407407,-8.04563045501709,0.7919999957084656,0.05555555555555555,-13.342864990234375,0.7919999957084656,0.07407407407407407,-15.773521423339844,0.800000011920929,0.09259259259259259,-17.666973114013672,5515.42685508728
>>>>>>> Stashed changes
