,mean,std,count
config/tracking.seed,3.0,1.5811388300841898,5.0
config/trainer.alpha,0.1,0.0,5.0
config/sampler.num_steps,40.0,0.0,5.0
config/sampler.step_size,0.003587433865307123,4.84869951806108e-19,5.0
config/sampler.noise_std,0.005,0.0,5.0
dis_loss,0.12354363177844456,0.0007902604996309424,5.0
acc,0.9608857142857141,0.00040908060180791197,5.0
uq_clean_accuracy,0.9608857142857141,0.00040908060180791197,5.0
alpha,0.1,0.0,5.0
parameters,349040.0,0.0,5.0
sgld_purify_radius,0.2,0.0,5.0
sgld_steps_per_sweep,20.0,0.0,5.0
sgld_purify_step_size,0.01,0.0,5.0
sgld_purify_noise_std,0.005,0.0,5.0
positive_joint_score,14.58964786529541,0.07849498988587461,5.0
positive_marginal_score,14.713190841674805,0.07881116979264784,5.0
negative_marginal_score,14.834120178222657,0.06932177665378039,5.0
px_cd_loss,0.12092933654785157,0.027912279373778156,5.0
joint_cd_loss,0.24447231292724608,0.027712684084444505,5.0
gen_loss,0.24447231292724608,0.027712684084444505,5.0
mixed_loss,0.13563656543322972,0.0026916096117958616,5.0
uq_clean_log_px_mean,14.713191032409668,0.07881124817232434,5.0
sgld_purify_num_examples,1000.0,0.0,5.0
uq_clean_purify_acc/0.2,0.9418285727500916,0.0005190186243676668,5.0
uq_clean_purify_acc/0.3,0.9389142870903016,0.0008898534108403081,5.0
sgld_clean_purify_acc/1,0.9594000101089477,0.0020736476191322733,5.0
sgld_clean_purify_acc/3,0.9522000074386596,0.0019235384309816768,5.0
sgld_clean_purify_acc/5,0.9498000025749207,0.0021679355489691034,5.0
rob/0.1,0.8067428708076477,0.0008169269575301278,5.0
uq_adv_acc/0.1,0.8067428708076477,0.0008169269575301278,5.0
uq_detection/1pct/0.1,0.017742857142857147,0.0007312276509754129,5.0
uq_det_err_detected/1pct/0.1,0.37361705688140034,0.013088763572494565,5.0
uq_det_err_passed/1pct/0.1,0.18999973238523607,0.00091812269348624,5.0
