max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
0,1,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.9895,0.62,0.291,0.1155,0.205,0.262,0.42,0.2425,0.338,0.4165,0.548,0.0775,0.113,0.1565,0.2675,0.992,0.4761904761904761,0.6505,0.081578947368421,0.4005,0.1558533145275035,0.9895,0.62,0.291,,,,rel
0,2,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.9895,0.62,0.291,0.1155,0.205,0.262,0.42,0.2425,0.338,0.4165,0.548,0.0775,0.113,0.1565,0.2675,0.992,0.4761904761904761,0.6505,0.081578947368421,0.4005,0.1558533145275035,0.9895,0.62,0.291,,,,rel
0,3,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.9895,0.62,0.291,0.1155,0.205,0.262,0.42,0.2425,0.338,0.4165,0.548,0.0775,0.113,0.1565,0.2675,0.992,0.4761904761904761,0.6505,0.081578947368421,0.4005,0.1558533145275035,0.9895,0.62,0.291,,,,rel
0,4,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.9895,0.62,0.291,0.1155,0.205,0.262,0.42,0.2425,0.338,0.4165,0.548,0.0775,0.113,0.1565,0.2675,0.992,0.4761904761904761,0.6505,0.081578947368421,0.4005,0.1558533145275035,0.9895,0.62,0.291,,,,rel
0,5,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.9895,0.62,0.291,0.1155,0.205,0.262,0.42,0.2425,0.338,0.4165,0.548,0.0775,0.113,0.1565,0.2675,0.992,0.4761904761904761,0.6505,0.081578947368421,0.4005,0.1558533145275035,0.9895,0.62,0.291,,,,rel
1,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/0,2.0,1.0,0.0001183257847969,1.0,0.991,0.6825,0.3785,0.1175,0.1675,0.262,0.3365,0.1745,0.2245,0.2845,0.375,0.071,0.0995,0.124,0.2085,0.992,0.1666666666666666,0.7035,0.0692913385826771,0.4525,0.1190667739340305,0.991,0.6825,0.3785,0.0,1.2580717727541924,-1.2604553699493408,rel
1,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/1,2.0,0.9995,0.0074316367390565,0.9995,0.9795,0.609,0.332,0.139,0.2025,0.2745,0.4325,0.282,0.3925,0.461,0.5865,0.059,0.127,0.194,0.3355,0.975,0.7317073170731707,0.706,0.3132992327365729,0.4365,0.1826347305389221,0.9795,0.609,0.332,1.0,1.05464200489223,-1.0560845136642456,rel
4,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/10,2.0,1.0,0.0001183257847969,1.0,0.9895,0.6585,0.3865,0.1095,0.148,0.2355,0.318,0.1865,0.236,0.29,0.373,0.0685,0.0935,0.1195,0.2055,0.991,0.1904761904761904,0.6765,0.0571010248901903,0.46,0.1198044009779951,0.9895,0.6585,0.3865,10.0,1.2580717727541924,-1.2604553699493408,rel
4,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/11,2.0,0.9995,0.0074316367390565,0.9995,0.9815,0.5915,0.354,0.14,0.199,0.272,0.4335,0.292,0.4055,0.476,0.599,0.055,0.109,0.177,0.325,0.9745,0.7837837837837838,0.6995,0.3108935128518972,0.449,0.1857585139318885,0.9815,0.5915,0.354,11.0,1.05464200489223,-1.0560845136642456,rel
4,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/12,2.0,1.0,6.357378799748403e-05,1.0,0.9905,0.6455,0.377,0.1395,0.181,0.2075,0.319,0.2125,0.2635,0.2975,0.4325,0.0745,0.102,0.1325,0.222,0.9925,0.3684210526315789,0.6715,0.0747531734837799,0.449,0.1155698234349919,0.9905,0.6455,0.377,12.0,1.1818773187696934,-1.1838523149490356,rel
