,mean,std,count
config/tracking.seed,3.0,1.5811388300841898,5.0
config/trainer.alpha,0.2,0.0,5.0
config/sampler.num_steps,40.0,0.0,5.0
config/sampler.step_size,0.003587433865307123,4.84869951806108e-19,5.0
config/sampler.noise_std,0.005,0.0,5.0
dis_loss,0.1733665481022426,0.001076854359148287,5.0
acc,0.9488857142857142,0.0006499607523472955,5.0
uq_clean_accuracy,0.9488857142857142,0.0006499607523472955,5.0
alpha,0.2,0.0,5.0
parameters,349040.0,0.0,5.0
sgld_purify_radius,0.2,0.0,5.0
sgld_steps_per_sweep,20.0,0.0,5.0
sgld_purify_step_size,0.01,0.0,5.0
sgld_purify_noise_std,0.005,0.0,5.0
positive_joint_score,19.992119598388673,0.10262554663719609,5.0
positive_marginal_score,20.165485763549803,0.10285128561163207,5.0
negative_marginal_score,19.783577346801756,0.09432367697073131,5.0
px_cd_loss,-0.3819084167480469,0.05096345548420454,5.0
joint_cd_loss,-0.20854225158691406,0.05095714478464211,5.0
gen_loss,-0.20854225158691406,0.05095714478464211,5.0
mixed_loss,0.09698486475263324,0.010232640081496375,5.0
uq_clean_log_px_mean,20.165486145019532,0.10285119998840517,5.0
sgld_purify_num_examples,1000.0,0.0,5.0
uq_clean_purify_acc/0.2,0.9020571351051331,0.0019288245291130398,5.0
uq_clean_purify_acc/0.3,0.8896857142448426,0.002048886466588567,5.0
sgld_clean_purify_acc/1,0.9395999908447266,0.0019493536465701024,5.0
sgld_clean_purify_acc/3,0.9277999997138977,0.0030331376560188495,5.0
sgld_clean_purify_acc/5,0.9167999982833862,0.002949578681885103,5.0
rob/0.1,0.7685142874717712,0.0014969213299074688,5.0
uq_adv_acc/0.1,0.7685142874717712,0.0014969213299074688,5.0
uq_detection/1pct/0.1,0.017885714285714286,0.0010804383086393734,5.0
uq_det_err_detected/1pct/0.1,0.43594881598976276,0.02797283625925694,5.0
uq_det_err_passed/1pct/0.1,0.2277579911974867,0.0018033599488796296,5.0
uq_detection/5pct/0.1,0.09180000000000002,0.0021347465557163595,5.0
uq_det_err_detected/5pct/0.1,0.35961961968800493,0.009724592302159453,5.0
uq_det_err_passed/5pct/0.1,0.21854822799646295,0.0014800855182723622,5.0
uq_detection/10pct/0.1,0.1718,0.0023202744383774418,5.0
uq_det_err_detected/10pct/0.1,0.3264439403407831,0.003067934582973293,5.0
uq_det_err_passed/10pct/0.1,0.21178053245759373,0.002541688327637264,5.0
uq_detection/20pct/0.1,0.29497142857142855,0.002448239684144591,5.0
uq_det_err_detected/20pct/0.1,0.30349476072360854,0.00545694208214465,5.0
uq_det_err_passed/20pct/0.1,0.20137111349902953,0.003320487125196842,5.0
adaptive_rob/0.1,0.872857141494751,0.0009529723515769548,5.0
uq_joint_adv_acc/0.1,0.872857141494751,0.0009529723515769548,5.0
adaptive_detection/1pct/0.1,0.0022857142857142855,0.0001428571428571427,5.0
uq_joint_detection/1pct/0.1,0.0022857142857142855,0.0001428571428571427,5.0
uq_joint_det_err_detected/1pct/0.1,0.6002941176470589,0.04422046841666899,5.0
uq_joint_det_err_passed/1pct/0.1,0.12605959959469287,0.000990150152191709,5.0
adaptive_detection/5pct/0.1,0.017400000000000002,0.0003097069055525535,5.0
uq_joint_detection/5pct/0.1,0.017400000000000002,0.0003097069055525535,5.0
uq_joint_det_err_detected/5pct/0.1,0.46138855192386324,0.030986985557265704,5.0
uq_joint_det_err_passed/5pct/0.1,0.12122347065648613,0.0012473699294672169,5.0
adaptive_detection/10pct/0.1,0.042828571428571424,0.0009918031404405577,5.0
uq_joint_detection/10pct/0.1,0.042828571428571424,0.0009918031404405577,5.0
uq_joint_det_err_detected/10pct/0.1,0.3775374922609741,0.01475486430094604,5.0
uq_joint_det_err_passed/10pct/0.1,0.11593648648252035,0.0015104331029528915,5.0
adaptive_detection/20pct/0.1,0.09988571428571429,0.0011490901458394412,5.0
uq_joint_detection/20pct/0.1,0.09988571428571429,0.0011490901458394412,5.0
uq_joint_det_err_detected/20pct/0.1,0.3052054772275243,0.004039625774299256,5.0
uq_joint_det_err_passed/20pct/0.1,0.10738294830203365,0.0008538953644833963,5.0
uq_purify_acc/0.1/0.2,0.7327999949455262,0.0025042637461031225,5.0
uq_purify_recovery/0.1/0.2,0.11602999269962311,0.0036495050031597146,5.0
uq_joint_purify_acc/0.1/0.2,0.8556285619735717,0.0019367568501891133,5.0
uq_joint_purify_recovery/0.1/0.2,0.008993444219231605,0.004075407402522312,5.0
adaptive_uq_purify_acc/0.1/0.2,0.8556285619735717,0.0019367568501891133,5.0
uq_purify_acc/0.1/0.3,0.7255428552627563,0.0019649917191316446,5.0
uq_purify_recovery/0.1/0.3,0.11602625250816345,0.003832156733660126,5.0
uq_joint_purify_acc/0.1/0.3,0.8487714290618896,0.003038191206311708,5.0
uq_joint_purify_recovery/0.1/0.3,0.01191166192293167,0.004882712726070362,5.0
adaptive_uq_purify_acc/0.1/0.3,0.8487714290618896,0.003038191206311708,5.0
sgld_purify_acc/0.1/1,0.7687999963760376,0.0019235523751691597,5.0
sgld_purify_recovery/0.1/1,0.07478893548250198,0.007927856397896959,5.0
sgld_purify_acc/0.1/3,0.7519999980926514,0.003082196326779088,5.0
sgld_purify_recovery/0.1/3,0.10670924186706543,0.003403303687783996,5.0
sgld_purify_acc/0.1/5,0.7476000189781189,0.0037815350448767745,5.0
sgld_purify_recovery/0.1/5,0.11786267459392548,0.010801990766711768,5.0
sgld_joint_purify_acc/0.1/1,0.8818000078201294,0.0034205327715947724,5.0
sgld_joint_purify_recovery/0.1/1,0.006927825137972831,0.007313479730669592,5.0
adaptive_sgld_purify_acc/0.1/1,0.8818000078201294,0.0034205327715947724,5.0
sgld_joint_purify_acc/0.1/3,0.8794000148773193,0.004505558946094667,5.0
sgld_joint_purify_recovery/0.1/3,0.01382513903081417,0.007731607860990619,5.0
adaptive_sgld_purify_acc/0.1/3,0.8794000148773193,0.004505558946094667,5.0
sgld_joint_purify_acc/0.1/5,0.8784000158309937,0.0041593306403995105,5.0
