cls_epoch,seed,run_path,range_size,cls/eval/test/acc,cls/eval/test/clsloss,cls/eval/test/genloss,cls/eval/uq_clean_accuracy,cls/eval/uq_clean_log_px_mean,cls/eval/uq_adv_acc/0.2,cls/eval/uq_adv_acc/0.4,cls/eval/uq_adv_acc/1.0,cls/eval/uq_detection/1pct/0.2,cls/eval/uq_detection/5pct/0.2,cls/eval/uq_detection/10pct/0.2,cls/eval/uq_detection/20pct/0.2,cls/eval/uq_detection/1pct/0.4,cls/eval/uq_detection/5pct/0.4,cls/eval/uq_detection/10pct/0.4,cls/eval/uq_detection/20pct/0.4,cls/eval/uq_detection/1pct/1.0,cls/eval/uq_detection/5pct/1.0,cls/eval/uq_detection/10pct/1.0,cls/eval/uq_detection/20pct/1.0,cls/eval/uq_purify_acc/0.2/0.2,cls/eval/uq_purify_recovery/0.2/0.2,cls/eval/uq_purify_acc/0.4/0.2,cls/eval/uq_purify_recovery/0.4/0.2,cls/eval/uq_purify_acc/1.0/0.2,cls/eval/uq_purify_recovery/1.0/0.2,cls/eval/test/rob/0.2,cls/eval/test/rob/0.4,cls/eval/test/rob/1.0,gen/eval/test/acc,gen/eval/test/clsloss,gen/eval/test/genloss,gen/eval/uq_clean_accuracy,gen/eval/uq_clean_log_px_mean,gen/eval/uq_adv_acc/0.2,gen/eval/uq_adv_acc/0.4,gen/eval/uq_adv_acc/1.0,gen/eval/uq_detection/1pct/0.2,gen/eval/uq_detection/5pct/0.2,gen/eval/uq_detection/10pct/0.2,gen/eval/uq_detection/20pct/0.2,gen/eval/uq_detection/1pct/0.4,gen/eval/uq_detection/5pct/0.4,gen/eval/uq_detection/10pct/0.4,gen/eval/uq_detection/20pct/0.4,gen/eval/uq_detection/1pct/1.0,gen/eval/uq_detection/5pct/1.0,gen/eval/uq_detection/10pct/1.0,gen/eval/uq_detection/20pct/1.0,gen/eval/uq_purify_acc/0.2/0.2,gen/eval/uq_purify_recovery/0.2/0.2,gen/eval/uq_purify_acc/0.4/0.2,gen/eval/uq_purify_recovery/0.4/0.2,gen/eval/uq_purify_acc/1.0/0.2,gen/eval/uq_purify_recovery/1.0/0.2,gen/eval/test/rob/0.2,gen/eval/test/rob/0.4,gen/eval/test/rob/1.0
5,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/10,2.0,0.985,0.07897798821795732,1.4253227300941944,0.985,-1.3465312719345093,0.518,0.3095,0.295,0.004,0.017,0.049,0.175,0.0165,0.038,0.041,0.1445,0.0165,0.0415,0.0585,0.1475,0.6285,0.27593360995850624,0.471,0.24112961622013035,0.3645,0.17659574468085107,0.518,0.3095,0.295,0.9945,0.21218609856441617,1.322948694229126,0.9945,-1.111385464668274,0.8695,0.7255,0.732,0.045,0.1245,0.179,0.2345,0.073,0.1615,0.2345,0.2965,0.0425,0.1515,0.171,0.23,0.854,0.18773946360153257,0.7745,0.29326047358834245,0.7435,0.3787313432835821,0.8695,0.7255,0.732
5,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/11,2.0,0.9535,0.16782782482914627,1.696499340236187,0.9535,-1.5285325050354004,0.6125,0.417,0.3325,0.0005,0.0085,0.0685,0.153,0.0025,0.0205,0.0735,0.169,0.003,0.0205,0.0685,0.1395,0.6425,0.15612903225806452,0.4695,0.14922813036020582,0.4005,0.20823970037453182,0.6125,0.417,0.3325,0.903,0.232611034065485,1.6864262484014034,0.903,-1.4534602165222168,0.542,0.4545,0.4755,0.11,0.169,0.1975,0.2415,0.1085,0.223,0.267,0.3205,0.093,0.1615,0.1805,0.2255,0.756,0.4945414847161572,0.608,0.3171402383134739,0.5145,0.19733079122974262,0.542,0.4545,0.4755
5,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/12,2.0,0.991,0.06287829927168787,1.4125946089625359,0.991,-1.3482024669647217,0.5325,0.2805,0.2115,0.078,0.122,0.175,0.279,0.067,0.1115,0.1505,0.2335,0.0175,0.054,0.0735,0.171,0.6085,0.2449197860962567,0.393,0.18207088255733148,0.3355,0.19847812301838935,0.5325,0.2805,0.2115,0.988,0.12114873272366822,1.2171019166707993,0.988,-1.0960907936096191,0.5775,0.4605,0.4055,0.2555,0.3705,0.412,0.4745,0.217,0.369,0.4265,0.479,0.06,0.1135,0.145,0.2135,0.803,0.5479289940828402,0.6115,0.3438368860055607,0.53,0.31455004205214465,0.5775,0.4605,0.4055
5,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/13,2.0,0.9895,0.06963608204387128,1.3514424823224545,0.9895,-1.2884584665298462,0.581,0.3685,0.269,0.062,0.089,0.1655,0.252,0.098,0.1135,0.155,0.209,0.037,0.059,0.102,0.155,0.62,0.2541766109785203,0.406,0.12034837688044339,0.32,0.13679890560875513,0.581,0.3685,0.269,0.931,0.2222870676778257,1.3069946058094501,0.931,-1.0911098718643188,0.7245,0.6115,0.521,0.0875,0.1635,0.173,0.2195,0.113,0.226,0.2715,0.332,0.0485,0.154,0.1855,0.2255,0.7645,0.23593466424682397,0.679,0.21235521235521235,0.577,0.21711899791231734,0.7245,0.6115,0.521
5,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/14,2.0,0.967,0.11403701337985694,1.5407628193497658,0.967,-1.4304499626159668,0.6515,0.3535,0.194,0.0005,0.013,0.0285,0.0635,0.0,0.0235,0.0455,0.085,0.001,0.0155,0.0255,0.0675,0.6205,0.11764705882352941,0.3785,0.10672853828306264,0.248,0.10856079404466501,0.6515,0.3535,0.194,0.994,0.07749740616418421,1.065934857353568,0.994,-0.9910434484481812,0.7215,0.49,0.51,0.178,0.3615,0.4675,0.5565,0.3245,0.5085,0.5875,0.6525,0.186,0.3355,0.3765,0.4615,0.839,0.4272890484739677,0.643,0.3107843137254902,0.59,0.21428571428571427,0.7215,0.49,0.51
10,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/15,2.0,0.993,0.05182394670555368,1.458616379648447,0.993,-1.4062143564224243,0.6,0.3955,0.322,0.0,0.0275,0.063,0.152,0.0305,0.0385,0.0575,0.083,0.023,0.037,0.0465,0.0855,0.633,0.22,0.4895,0.17369727047146402,0.372,0.16445427728613568,0.6,0.3955,0.322,0.992,0.1467196608427912,1.2529360875487328,0.992,-1.1056714057922363,0.8465,0.744,0.6635,0.06,0.1365,0.212,0.265,0.1,0.182,0.227,0.3035,0.059,0.1665,0.215,0.3135,0.8455,0.026058631921824105,0.7235,0.046875,0.562,0.11589895988112928,0.8465,0.744,0.6635
10,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/16,2.0,0.968,0.1303787436336279,1.8065478205680847,0.968,-1.6765129566192627,0.607,0.4095,0.385,0.013,0.0345,0.058,0.1575,0.0155,0.032,0.0645,0.1675,0.004,0.023,0.053,0.127,0.6485,0.138676844783715,0.486,0.15495342929720576,0.436,0.19349593495934958,0.607,0.4095,0.385,0.8505,0.30286118434742093,1.7823894545435905,0.8505,-1.477451205253601,0.359,0.353,0.463,0.121,0.194,0.2465,0.301,0.208,0.2945,0.3355,0.405,0.1025,0.1655,0.211,0.265,0.4875,0.23010920436817472,0.49,0.24420401854714066,0.453,0.14338919925512103,0.359,0.353,0.463
10,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/17,2.0,0.9935,0.03870045184157789,1.3810380101203918,0.9935,-1.3405929803848267,0.545,0.3045,0.2735,0.099,0.167,0.2295,0.323,0.0855,0.1445,0.1795,0.2315,0.0145,0.062,0.098,0.1505,0.6335,0.27802197802197803,0.4315,0.19554277498202732,0.3265,0.1259463179628355,0.545,0.3045,0.2735,0.9915,0.12337088817730546,1.306263044476509,0.9915,-1.185083031654358,0.5215,0.4335,0.3975,0.223,0.357,0.3845,0.463,0.245,0.4005,0.4235,0.4615,0.0725,0.1285,0.142,0.179,0.791,0.5736677115987461,0.6435,0.46337157987643424,0.479,0.2680497925311203,0.5215,0.4335,0.3975
10,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/18,2.0,0.9915,0.048220145399682224,1.4294751659035683,0.9915,-1.3894199132919312,0.604,0.39,0.271,0.0205,0.0485,0.1215,0.1675,0.0505,0.0655,0.114,0.166,0.0185,0.0385,0.071,0.129,0.6475,0.20075757575757575,0.4095,0.06967213114754098,0.3225,0.13237311385459533,0.604,0.39,0.271,0.9055,0.3079781699925661,1.3652395196259022,0.9055,-1.0636491775512695,0.645,0.5905,0.4815,0.1675,0.2525,0.2655,0.302,0.1535,0.2935,0.324,0.362,0.072,0.1805,0.197,0.2395,0.7,0.36338028169014086,0.6315,0.2686202686202686,0.5435,0.2651880424300868,0.645,0.5905,0.4815
10,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/19,2.0,0.9785,0.08384571282658726,1.4594862163066864,0.9785,-1.379636287689209,0.706,0.4345,0.2775,0.015,0.0495,0.1035,0.157,0.0115,0.062,0.123,0.172,0.001,0.0265,0.065,0.1055,0.6705,0.09183673469387756,0.4545,0.09991158267020336,0.2835,0.09480968858131487,0.706,0.4345,0.2775,0.998,0.12666260614059865,1.09012920409441,0.998,-0.9655777812004089,0.6855,0.406,0.407,0.2405,0.4875,0.56,0.5965,0.4265,0.56,0.5875,0.6185,0.132,0.2895,0.336,0.3865,0.862,0.5691573926868044,0.657,0.48148148148148145,0.499,0.23608768971332209,0.6855,0.406,0.407
