max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
32,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/26,,1.0,0.00020627270896511618,1.0,0.9465,0.5655,0.349,0.3455,0.5105,0.582,0.6725,0.4285,0.5585,0.621,0.7155,0.1265,0.197,0.235,0.3125,0.9735,0.5233644859813084,0.632,0.1611047180667434,0.5255,0.30184331797235026,0.9465,0.5655,0.349,26,1.048380920663476,-1.0491443872451782
32,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/27,,1.0,0.000832384085697413,1.0,0.966,0.68,0.3725,0.1985,0.332,0.4055,0.512,0.355,0.474,0.544,0.607,0.124,0.1565,0.1915,0.2935,0.9835,0.5441176470588235,0.7585,0.246875,0.5515,0.3250996015936255,0.966,0.68,0.3725,27,1.0538388397544622,-1.0531216859817505
32,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/28,,1.0,0.0008257755926024402,1.0,0.958,0.6965,0.455,0.2385,0.355,0.3855,0.4945,0.33,0.416,0.469,0.534,0.126,0.182,0.218,0.3125,0.976,0.4523809523809524,0.7715,0.2553542009884679,0.5895,0.25321100917431194,0.958,0.6965,0.455,28,1.0455983392894268,-1.0452262163162231
32,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/29,,1.0,0.0007955046012284583,1.0,0.951,0.5975,0.407,0.2375,0.3935,0.462,0.534,0.2845,0.4235,0.481,0.601,0.102,0.147,0.2035,0.3005,0.9705,0.4489795918367347,0.657,0.14906832298136646,0.5385,0.26728499156829677,0.951,0.5975,0.407,29,1.0502192974090576,-1.0503957271575928
1,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/3,,1.0,0.00032527140183447045,1.0,0.956,0.699,0.4475,0.299,0.3485,0.3995,0.5655,0.351,0.421,0.476,0.6505,0.146,0.192,0.2275,0.3155,0.9795,0.5340909090909091,0.768,0.23588039867109634,0.569,0.22171945701357465,0.956,0.699,0.4475,3,1.0496202986687422,-1.0503716468811035
64,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/30,,1.0,0.0004256592897036171,1.0,0.9655,0.618,0.395,0.2595,0.322,0.4185,0.4735,0.35,0.446,0.533,0.5975,0.1155,0.156,0.1935,0.309,0.983,0.5072463768115942,0.697,0.2081151832460733,0.5645,0.2809917355371901,0.9655,0.618,0.395,30,1.05945186316967,-1.0594826936721802
64,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/31,,1.0,0.00020627270896511618,1.0,0.9445,0.588,0.346,0.353,0.5155,0.5805,0.679,0.4185,0.553,0.6195,0.7015,0.1255,0.2,0.242,0.3195,0.973,0.5225225225225225,0.6515,0.16019417475728157,0.515,0.28211009174311924,0.9445,0.588,0.346,31,1.048380920663476,-1.0491443872451782
64,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/32,,1.0,0.000832384085697413,1.0,0.9645,0.6825,0.3905,0.1955,0.325,0.392,0.5015,0.3335,0.4385,0.52,0.604,0.133,0.1745,0.2035,0.302,0.9825,0.5070422535211268,0.7715,0.2803149606299213,0.563,0.3191140278917145,0.9645,0.6825,0.3905,32,1.0538388397544622,-1.0531216859817505
64,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/33,,1.0,0.0008257755926024402,1.0,0.9585,0.6915,0.4685,0.2435,0.3505,0.381,0.476,0.3545,0.4455,0.5015,0.5605,0.127,0.1855,0.222,0.3105,0.975,0.40963855421686746,0.772,0.26904376012965964,0.603,0.257761053621825,0.9585,0.6915,0.4685,33,1.0455983392894268,-1.0452262163162231
64,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/34,,1.0,0.0007955046012284583,1.0,0.955,0.5885,0.3965,0.233,0.383,0.4655,0.5465,0.2895,0.426,0.4915,0.6065,0.1015,0.146,0.2035,0.296,0.9735,0.4888888888888889,0.6525,0.1591737545565006,0.514,0.23943661971830985,0.955,0.5885,0.3965,34,1.0502192974090576,-1.0503957271575928
